Metric,RS1,RS2,RS3,RS4,RS5,RS6
Maintained TP SIDs List,"1, 3, 4, 5, 7, 8, 12, 14, 15, 18, 19, 20, 28, 31, 32, 33, 16431, 19439, 19440, 21516, 24342, 25975, 25977, 41978, 42944, 54827, 60401","2000418, 2001330, 2001579, 2002677, 2002879, 2002901, 2002910, 2002911, 2006446, 2008118, 2008119, 2008120, 2008538, 2008833, 2008897, 2009051, 2009071, 2009229, 2009316, 2009317, 2009318, 2009325, 2009326, 2009358, 2009361, 2009362, 2009369, 2009384, 2009391, 2009485, 2009714, 2009815, 2009887, 2009892, 2009931, 2009932, 2009933, 2010124, 2010125, 2010197, 2010229, 2010254, 2010260, 2010276, 2010354, 2010355, 2010362, 2010466, 2010473, 2010475, 2010484, 2010485, 2010564, 2010766, 2010781, 2010920, 2010935, 2010936, 2010937, 2010938, 2010939, 2010963, 2011037, 2011042, 2011141, 2011142, 2011143, 2011144, 2011259, 2011274, 2011384, 2011564, 2011696, 2012013, 2012369, 2012795, 2012870, 2012886, 2013028, 2013409, 2013504, 2014153, 2014180, 2014520, 2014906, 2016141, 2016182, 2016184, 2016538, 2016672, 2016992, 2017337, 2017436, 2017440, 2017441, 2017442, 2017808, 2018317, 2018359, 2018413, 2018752, 2018959, 2019240, 2019348, 2019524, 2019526, 2019714, 2021076, 2021390, 2022520, 2022858, 2023753, 2024297, 2024364, 2025644, 2025649, 2025650, 2025699, 2025701, 2025992, 2026850, 2027237, 2027250, 2027253, 2027261, 2027262, 2027263, 2027265, 2027326, 2027413, 2027792, 2027793, 2027794, 2030337, 2031379, 2033952, 2034567, 2034718, 2034730, 2035480, 2041131, 2043217, 2043343, 2044073, 2044076, 2044770, 2049400, 2049401, 2049402, 2053459, 2053465, 2053466, 2053468, 2053480, 2100257, 2100366, 2100598, 2100951, 2100952, 2100953, 2100958, 2100959, 2100961, 2100965, 2100977, 2100981, 2100982, 2100987, 2100993, 2101013, 2101016, 2101018, 2101071, 2101108, 2101129, 2101145, 2101201, 2101242, 2101244, 2101245, 2101256, 2101401, 2101402, 2101403, 2101411, 2101487, 2101874, 2101877, 2102073, 2102465","1, 3, 4, 5, 7, 8, 12, 14, 15, 18, 19, 20, 28, 31, 32, 33, 16431, 19439, 19440, 21516, 24342, 25975, 25977, 41978, 42944, 54827, 60401, 2000418, 2001330, 2001579, 2002677, 2002879, 2002901, 2002910, 2002911, 2006446, 2008118, 2008119, 2008120, 2008538, 2008833, 2008897, 2009051, 2009071, 2009229, 2009316, 2009317, 2009318, 2009325, 2009326, 2009358, 2009361, 2009362, 2009369, 2009384, 2009391, 2009485, 2009714, 2009815, 2009887, 2009892, 2009931, 2009932, 2009933, 2010124, 2010125, 2010197, 2010229, 2010254, 2010260, 2010276, 2010354, 2010355, 2010362, 2010466, 2010473, 2010475, 2010484, 2010485, 2010564, 2010766, 2010781, 2010920, 2010935, 2010936, 2010937, 2010938, 2010939, 2010963, 2011037, 2011042, 2011141, 2011142, 2011143, 2011144, 2011259, 2011274, 2011384, 2011564, 2011696, 2012013, 2012369, 2012795, 2012870, 2012886, 2013028, 2013409, 2013504, 2014153, 2014180, 2014520, 2014906, 2016141, 2016182, 2016184, 2016538, 2016672, 2016992, 2017337, 2017436, 2017440, 2017441, 2017442, 2017808, 2018317, 2018359, 2018413, 2018752, 2018959, 2019240, 2019348, 2019524, 2019526, 2019714, 2021076, 2021390, 2022520, 2022858, 2023753, 2024297, 2024364, 2025644, 2025649, 2025650, 2025699, 2025701, 2025992, 2026850, 2027237, 2027250, 2027253, 2027261, 2027262, 2027263, 2027265, 2027326, 2027413, 2027792, 2027793, 2027794, 2030337, 2031379, 2033952, 2034567, 2034718, 2034730, 2035480, 2041131, 2043217, 2043343, 2044073, 2044076, 2044770, 2049400, 2049401, 2049402, 2053459, 2053465, 2053466, 2053468, 2053480, 2100257, 2100366, 2100598, 2100951, 2100952, 2100953, 2100958, 2100959, 2100961, 2100965, 2100977, 2100981, 2100982, 2100987, 2100993, 2101013, 2101016, 2101018, 2101071, 2101108, 2101129, 2101145, 2101201, 2101242, 2101244, 2101245, 2101256, 2101401, 2101402, 2101403, 2101411, 2101487, 2101874, 2101877, 2102073, 2102465","1, 3, 4, 5, 7, 8, 12, 14, 15, 18, 19, 20, 28, 31, 32, 33, 254, 257, 366, 384, 402, 408, 451, 453, 459, 509, 598, 648, 805, 807, 818, 825, 835, 839, 844, 845, 849, 851, 853, 857, 875, 878, 879, 882, 885, 886, 887, 895, 896, 902, 903, 904, 905, 906, 907, 908, 910, 911, 912, 913, 914, 915, 918, 922, 928, 930, 931, 932, 935, 936, 937, 939, 940, 941, 942, 943, 944, 945, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 958, 959, 961, 962, 964, 965, 966, 967, 968, 971, 974, 977, 978, 979, 980, 984, 985, 986, 987, 990, 992, 993, 999, 1002, 1004, 1005, 1013, 1016, 1018, 1019, 1022, 1023, 1024, 1029, 1030, 1031, 1032, 1033, 1034, 1035, 1036, 1037, 1038, 1040, 1043, 1044, 1048, 1061, 1070, 1071, 1073, 1075, 1076, 1077, 1078, 1080, 1088, 1091, 1103, 1108, 1110, 1111, 1119, 1120, 1122, 1123, 1125, 1127, 1128, 1129, 1130, 1131, 1134, 1141, 1142, 1145, 1146, 1147, 1148, 1150, 1151, 1152, 1153, 1154, 1155, 1156, 1157, 1160, 1161, 1162, 1163, 1164, 1165, 1166, 1168, 1172, 1173, 1175, 1183, 1192, 1193, 1200, 1201, 1202, 1206, 1209, 1212, 1213, 1214, 1215, 1218, 1224, 1230, 1231, 1242, 1244, 1245, 1248, 1250, 1254, 1256, 1284, 1286, 1288, 1292, 1301, 1325, 1376, 1385, 1390, 1394, 1399, 1400, 1401, 1402, 1407, 1411, 1417, 1418, 1420, 1421, 1433, 1434, 1444, 1448, 1458, 1481, 1482, 1486, 1487, 1489, 1490, 1491, 1492, 1493, 1500, 1517, 1520, 1521, 1522, 1523, 1525, 1526, 1527, 1528, 1540, 1542, 1543, 1544, 1551, 1555, 1556, 1557, 1559, 1560, 1564, 1567, 1568, 1571, 1575, 1576, 1577, 1578, 1579, 1580, 1581, 1582, 1583, 1584, 1585, 1586, 1587, 1592, 1606, 1611, 1614, 1637, 1659, 1660, 1662, 1667, 1668, 1671, 1722, 1723, 1724, 1726, 1738, 1742, 1743, 1765, 1767, 1769, 1770, 1772, 1773, 1774, 1787, 1816, 1826, 1827, 1828, 1829, 1834, 1835, 1847, 1848, 1851, 1852, 1871, 1872, 1873, 1874, 1875, 1877, 1880, 1917, 1997, 1998, 2000, 2002, 2056, 2060, 2062, 2073, 2076, 2077, 2085, 2086, 2130, 2131, 2133, 2137, 2138, 2140, 2141, 2142, 2143, 2144, 2148, 2151, 2152, 2154, 2196, 2198, 2204, 2205, 2206, 2214, 2215, 2219, 2223, 2225, 2228, 2246, 2276, 2281, 2285, 2288, 2295, 2298, 2325, 2326, 2346, 2347, 2358, 2363, 2393, 2395, 2397, 2410, 2447, 2484, 2565, 3065, 3201, 3674, 4637, 5708, 5730, 6690, 6691, 6693, 6694, 6696, 6701, 7070, 7071, 8490, 8492, 8493, 11192, 12610, 13249, 13586, 13990, 15259, 15306, 15578, 15874, 15935, 15990, 16313, 16431, 16613, 16642, 17107, 17387, 17410, 17429, 17458, 18469, 18478, 18742, 19439, 19440, 19779, 20173, 20258, 20631, 20632, 20633, 20651, 20654, 20656, 20663, 20674, 20728, 20731, 20732, 20815, 20826, 21161, 21513, 21515, 21516, 21777, 21778, 22064, 22097, 22953, 23362, 23858, 23861, 24094, 24096, 24097, 24172, 24253, 24303, 24342, 24378, 24379, 24502, 25975, 25977, 26385, 26879, 27192, 27218, 27230, 27284, 27688, 28912, 28957, 29456, 30281, 31013, 31360, 31362, 31377, 31419, 31568, 31637, 31638, 31767, 31939, 31940, 32481, 33294, 33608, 33612, 33613, 34224, 34225, 34447, 36037, 36650, 37961, 38043, 38319, 38371, 39348, 40063, 40353, 40880, 40890, 41187, 41188, 41189, 41701, 41742, 41817, 41978, 42289, 42465, 42944, 43238, 43285, 43289, 43290, 43356, 43392, 43458, 43691, 43724, 43808, 44133, 44484, 44485, 44486, 44487, 44488, 44489, 44604, 44728, 46533, 46979, 47398, 47401, 49040, 49920, 50447, 50921, 50922, 50923, 50924, 50925, 53017, 53331, 54827, 55647, 56563, 57756, 58160, 58611, 59237, 59258, 59332, 59597, 60401, 60573, 61117, 64480","2000418, 2000419, 2000560, 2001117, 2001218, 2001329, 2001330, 2001343, 2001579, 2001949, 2002070, 2002133, 2002677, 2002681, 2002731, 2002749, 2002752, 2002800, 2002815, 2002822, 2002824, 2002828, 2002829, 2002879, 2002898, 2002901, 2002902, 2002910, 2002996, 2003012, 2003020, 2003099, 2003303, 2003331, 2003333, 2003410, 2003517, 2003595, 2003660, 2003661, 2003662, 2003663, 2003664, 2003665, 2003666, 2003667, 2003668, 2003669, 2003670, 2003671, 2003672, 2003673, 2003674, 2003675, 2003676, 2003677, 2003678, 2003679, 2003680, 2003681, 2003682, 2003686, 2003688, 2003689, 2003692, 2003693, 2003694, 2003696, 2003698, 2003699, 2003700, 2003701, 2003702, 2003703, 2003704, 2003705, 2003706, 2003707, 2003708, 2003709, 2003710, 2003711, 2003712, 2003713, 2003714, 2003715, 2003716, 2003717, 2003718, 2003719, 2003720, 2003721, 2003726, 2003727, 2003728, 2003729, 2003731, 2003732, 2003733, 2003737, 2003738, 2003739, 2003740, 2003741, 2003743, 2003744, 2003745, 2003747, 2003867, 2004589, 2004592, 2006380, 2006402, 2006408, 2006409, 2006445, 2006446, 2006609, 2007571, 2008118, 2008119, 2008120, 2008330, 2008538, 2008826, 2008833, 2008871, 2008879, 2008897, 2008899, 2008900, 2008901, 2008902, 2008903, 2008904, 2008922, 2008962, 2008964, 2008996, 2009001, 2009004, 2009051, 2009059, 2009060, 2009061, 2009062, 2009071, 2009080, 2009101, 2009123, 2009151, 2009163, 2009164, 2009166, 2009167, 2009179, 2009180, 2009188, 2009190, 2009196, 2009205, 2009206, 2009207, 2009208, 2009225, 2009229, 2009307, 2009311, 2009313, 2009316, 2009317, 2009318, 2009321, 2009325, 2009326, 2009333, 2009345, 2009346, 2009358, 2009361, 2009362, 2009364, 2009367, 2009369, 2009370, 2009371, 2009372, 2009378, 2009379, 2009381, 2009382, 2009384, 2009386, 2009391, 2009397, 2009398, 2009415, 2009427, 2009435, 2009459, 2009466, 2009467, 2009468, 2009485, 2009502, 2009504, 2009506, 2009582, 2009653, 2009656, 2009714, 2009717, 2009723, 2009733, 2009749, 2009754, 2009755, 2009756, 2009757, 2009758, 2009759, 2009760, 2009768, 2009788, 2009793, 2009815, 2009848, 2009871, 2009872, 2009873, 2009877, 2009884, 2009885, 2009887, 2009892, 2009898, 2009903, 2009931, 2009932, 2009933, 2010027, 2010095, 2010099, 2010124, 2010125, 2010126, 2010197, 2010229, 2010252, 2010254, 2010260, 2010276, 2010354, 2010355, 2010362, 2010377, 2010466, 2010473, 2010475, 2010484, 2010485, 2010564, 2010706, 2010732, 2010766, 2010767, 2010781, 2010920, 2010935, 2010936, 2010937, 2010938, 2010939, 2010963, 2011031, 2011037, 2011040, 2011042, 2011085, 2011141, 2011142, 2011143, 2011144, 2011160, 2011259, 2011274, 2011384, 2011564, 2011696, 2012013, 2012369, 2012795, 2012870, 2012885, 2012886, 2012911, 2012913, 2013028, 2013409, 2013490, 2013491, 2013504, 2013514, 2014153, 2014180, 2014379, 2014520, 2014906, 2015016, 2015526, 2016141, 2016182, 2016184, 2016538, 2016672, 2016992, 2017337, 2017436, 2017440, 2017441, 2017442, 2017808, 2018208, 2018317, 2018359, 2018413, 2018752, 2018959, 2019240, 2019348, 2019524, 2019526, 2019714, 2020296, 2020506, 2021076, 2021390, 2022218, 2022520, 2022858, 2023753, 2023997, 2024297, 2024364, 2024510, 2024766, 2025364, 2025644, 2025649, 2025650, 2025699, 2025701, 2025992, 2026850, 2027191, 2027237, 2027250, 2027253, 2027261, 2027262, 2027263, 2027265, 2027326, 2027413, 2027768, 2027792, 2027793, 2027794, 2029425, 2030337, 2031379, 2033952, 2034567, 2034718, 2034730, 2034857, 2035480, 2036224, 2036752, 2041131, 2043217, 2043343, 2044073, 2044076, 2044665, 2044666, 2044770, 2049400, 2049401, 2049402, 2051116, 2053459, 2053465, 2053466, 2053468, 2053480, 2054218, 2056027, 2059098, 2059099, 2059100, 2059101, 2059102, 2059103, 2059104, 2059105, 2059106, 2059107, 2059109, 2059111, 2059112, 2059114, 2059115, 2059116, 2059126, 2059172, 2059253, 2060161, 2060162, 2060251, 2060252, 2060507, 2060512, 2060630, 2060632, 2067085, 2067086, 2067087, 2100254, 2100257, 2100366, 2100384, 2100402, 2100408, 2100451, 2100453, 2100459, 2100469, 2100472, 2100473, 2100525, 2100527, 2100598, 2100615, 2100884, 2100937, 2100951, 2100952, 2100953, 2100958, 2100959, 2100961, 2100965, 2100971, 2100977, 2100981, 2100982, 2100987, 2100988, 2100993, 2101013, 2101016, 2101018, 2101023, 2101071, 2101108, 2101110, 2101111, 2101122, 2101129, 2101145, 2101156, 2101193, 2101200, 2101201, 2101242, 2101244, 2101245, 2101256, 2101288, 2101292, 2101332, 2101390, 2101401, 2101402, 2101403, 2101411, 2101417, 2101418, 2101420, 2101444, 2101447, 2101487, 2101489, 2101620, 2101662, 2101738, 2101847, 2101852, 2101874, 2101877, 2101945, 2102056, 2102073, 2102131, 2102465","1, 3, 4, 5, 7, 8, 12, 14, 15, 18, 19, 20, 28, 31, 32, 33, 254, 257, 366, 384, 402, 408, 451, 453, 459, 509, 598, 648, 805, 807, 818, 825, 835, 839, 844, 845, 849, 851, 853, 857, 875, 878, 879, 882, 885, 886, 887, 895, 896, 902, 903, 904, 905, 906, 907, 908, 910, 911, 912, 913, 914, 915, 918, 922, 928, 930, 931, 932, 935, 936, 937, 939, 940, 941, 942, 943, 944, 945, 946, 947, 948, 949, 950, 951, 952, 953, 954, 955, 956, 957, 958, 959, 961, 962, 964, 965, 966, 967, 968, 971, 974, 977, 978, 979, 980, 984, 985, 986, 987, 990, 992, 993, 999, 1002, 1004, 1005, 1013, 1016, 1018, 1019, 1022, 1023, 1024, 1029, 1030, 1031, 1032, 1033, 1034, 1035, 1036, 1037, 1038, 1040, 1043, 1044, 1048, 1061, 1070, 1071, 1073, 1075, 1076, 1077, 1078, 1080, 1088, 1091, 1103, 1108, 1110, 1111, 1119, 1120, 1122, 1123, 1125, 1127, 1128, 1129, 1130, 1131, 1134, 1141, 1142, 1145, 1146, 1147, 1148, 1150, 1151, 1152, 1153, 1154, 1155, 1156, 1157, 1160, 1161, 1162, 1163, 1164, 1165, 1166, 1168, 1172, 1173, 1175, 1183, 1192, 1193, 1200, 1201, 1202, 1206, 1209, 1212, 1213, 1214, 1215, 1218, 1224, 1230, 1231, 1242, 1244, 1245, 1248, 1250, 1254, 1256, 1284, 1286, 1288, 1292, 1301, 1325, 1376, 1385, 1390, 1394, 1399, 1400, 1401, 1402, 1407, 1411, 1417, 1418, 1420, 1421, 1433, 1434, 1444, 1448, 1458, 1481, 1482, 1486, 1487, 1489, 1490, 1491, 1492, 1493, 1500, 1517, 1520, 1521, 1522, 1523, 1525, 1526, 1527, 1528, 1540, 1542, 1543, 1544, 1551, 1555, 1556, 1557, 1559, 1560, 1564, 1567, 1568, 1571, 1575, 1576, 1577, 1578, 1579, 1580, 1581, 1582, 1583, 1584, 1585, 1586, 1587, 1592, 1606, 1611, 1614, 1637, 1659, 1660, 1662, 1667, 1668, 1671, 1722, 1723, 1724, 1726, 1738, 1742, 1743, 1765, 1767, 1769, 1770, 1772, 1773, 1774, 1787, 1816, 1826, 1827, 1828, 1829, 1834, 1835, 1847, 1848, 1851, 1852, 1871, 1872, 1873, 1874, 1875, 1877, 1880, 1917, 1997, 1998, 2000, 2002, 2056, 2060, 2062, 2073, 2076, 2077, 2085, 2086, 2130, 2131, 2133, 2137, 2138, 2140, 2141, 2142, 2143, 2144, 2148, 2151, 2152, 2154, 2196, 2198, 2204, 2205, 2206, 2214, 2215, 2219, 2223, 2225, 2228, 2246, 2276, 2281, 2285, 2288, 2295, 2298, 2325, 2326, 2346, 2347, 2358, 2363, 2393, 2395, 2397, 2410, 2447, 2484, 2565, 3065, 3201, 3674, 4637, 5708, 5730, 6690, 6691, 6693, 6694, 6696, 6701, 7070, 7071, 8490, 8492, 8493, 11192, 12610, 13249, 13586, 13990, 15259, 15306, 15578, 15874, 15935, 15990, 16313, 16431, 16613, 16642, 17107, 17387, 17410, 17429, 17458, 18469, 18478, 18742, 19439, 19440, 19779, 20173, 20258, 20631, 20632, 20633, 20651, 20654, 20656, 20663, 20674, 20728, 20731, 20732, 20815, 20826, 21161, 21513, 21515, 21516, 21777, 21778, 22064, 22097, 22953, 23362, 23858, 23861, 24094, 24096, 24097, 24172, 24253, 24303, 24342, 24378, 24379, 24502, 25975, 25977, 26385, 26879, 27192, 27218, 27230, 27284, 27688, 28912, 28957, 29456, 30281, 31013, 31360, 31362, 31377, 31419, 31568, 31637, 31638, 31767, 31939, 31940, 32481, 33294, 33608, 33612, 33613, 34224, 34225, 34447, 36037, 36650, 37961, 38043, 38319, 38371, 39348, 40063, 40353, 40880, 40890, 41187, 41188, 41189, 41701, 41742, 41817, 41978, 42289, 42465, 42944, 43238, 43285, 43289, 43290, 43356, 43392, 43458, 43691, 43724, 43808, 44133, 44484, 44485, 44486, 44487, 44488, 44489, 44604, 44728, 46533, 46979, 47398, 47401, 49040, 49920, 50447, 50921, 50922, 50923, 50924, 50925, 53017, 53331, 54827, 55647, 56563, 57756, 58160, 58611, 59237, 59258, 59332, 59597, 60401, 60573, 61117, 64480, 2000418, 2000419, 2000560, 2001117, 2001218, 2001329, 2001330, 2001343, 2001579, 2001949, 2002070, 2002133, 2002677, 2002681, 2002731, 2002749, 2002752, 2002800, 2002815, 2002822, 2002824, 2002828, 2002829, 2002879, 2002898, 2002901, 2002902, 2002910, 2002996, 2003012, 2003020, 2003099, 2003303, 2003331, 2003333, 2003410, 2003517, 2003595, 2003660, 2003661, 2003662, 2003663, 2003664, 2003665, 2003666, 2003667, 2003668, 2003669, 2003670, 2003671, 2003672, 2003673, 2003674, 2003675, 2003676, 2003677, 2003678, 2003679, 2003680, 2003681, 2003682, 2003686, 2003688, 2003689, 2003692, 2003693, 2003694, 2003696, 2003698, 2003699, 2003700, 2003701, 2003702, 2003703, 2003704, 2003705, 2003706, 2003707, 2003708, 2003709, 2003710, 2003711, 2003712, 2003713, 2003714, 2003715, 2003716, 2003717, 2003718, 2003719, 2003720, 2003721, 2003726, 2003727, 2003728, 2003729, 2003731, 2003732, 2003733, 2003737, 2003738, 2003739, 2003740, 2003741, 2003743, 2003744, 2003745, 2003747, 2003867, 2004589, 2004592, 2006380, 2006402, 2006408, 2006409, 2006445, 2006446, 2006609, 2007571, 2008118, 2008119, 2008120, 2008330, 2008538, 2008826, 2008833, 2008871, 2008879, 2008897, 2008899, 2008900, 2008901, 2008902, 2008903, 2008904, 2008922, 2008962, 2008964, 2008996, 2009001, 2009004, 2009051, 2009059, 2009060, 2009061, 2009062, 2009071, 2009080, 2009101, 2009123, 2009151, 2009163, 2009164, 2009166, 2009167, 2009179, 2009180, 2009188, 2009190, 2009196, 2009205, 2009206, 2009207, 2009208, 2009225, 2009229, 2009307, 2009311, 2009313, 2009316, 2009317, 2009318, 2009321, 2009325, 2009326, 2009333, 2009345, 2009346, 2009358, 2009361, 2009362, 2009364, 2009367, 2009369, 2009370, 2009371, 2009372, 2009378, 2009379, 2009381, 2009382, 2009384, 2009386, 2009391, 2009397, 2009398, 2009415, 2009427, 2009435, 2009459, 2009466, 2009467, 2009468, 2009485, 2009502, 2009504, 2009506, 2009582, 2009653, 2009656, 2009714, 2009717, 2009723, 2009733, 2009749, 2009754, 2009755, 2009756, 2009757, 2009758, 2009759, 2009760, 2009768, 2009788, 2009793, 2009815, 2009848, 2009871, 2009872, 2009873, 2009877, 2009884, 2009885, 2009887, 2009892, 2009898, 2009903, 2009931, 2009932, 2009933, 2010027, 2010095, 2010099, 2010124, 2010125, 2010126, 2010197, 2010229, 2010252, 2010254, 2010260, 2010276, 2010354, 2010355, 2010362, 2010377, 2010466, 2010473, 2010475, 2010484, 2010485, 2010564, 2010706, 2010732, 2010766, 2010767, 2010781, 2010920, 2010935, 2010936, 2010937, 2010938, 2010939, 2010963, 2011031, 2011037, 2011040, 2011085, 2011141, 2011142, 2011143, 2011144, 2011160, 2011259, 2011274, 2011384, 2011564, 2011696, 2012013, 2012369, 2012795, 2012870, 2012885, 2012886, 2012911, 2012913, 2013028, 2013409, 2013490, 2013491, 2013504, 2013514, 2014153, 2014180, 2014379, 2014520, 2014906, 2015016, 2015526, 2016141, 2016182, 2016184, 2016538, 2016672, 2016992, 2017337, 2017436, 2017440, 2017441, 2017442, 2017808, 2018208, 2018317, 2018359, 2018413, 2018752, 2018959, 2019240, 2019348, 2019524, 2019526, 2019714, 2020296, 2020506, 2021076, 2021390, 2022218, 2022520, 2022858, 2023753, 2023997, 2024297, 2024364, 2024510, 2024766, 2025364, 2025644, 2025649, 2025650, 2025699, 2025701, 2025992, 2026850, 2027191, 2027237, 2027250, 2027253, 2027261, 2027262, 2027263, 2027265, 2027326, 2027413, 2027768, 2027792, 2027793, 2027794, 2029425, 2030337, 2031379, 2033952, 2034567, 2034718, 2034730, 2034857, 2035480, 2036224, 2036752, 2041131, 2043217, 2043343, 2044073, 2044076, 2044665, 2044666, 2044770, 2049400, 2049401, 2049402, 2051116, 2053465, 2053468, 2053480, 2054218, 2056027, 2059098, 2059099, 2059100, 2059101, 2059102, 2059103, 2059104, 2059105, 2059106, 2059107, 2059109, 2059111, 2059112, 2059114, 2059115, 2059116, 2059126, 2059172, 2059253, 2060161, 2060162, 2060251, 2060252, 2060507, 2060512, 2060630, 2060632, 2067085, 2067086, 2067087, 2100254, 2100257, 2100366, 2100384, 2100402, 2100408, 2100451, 2100453, 2100459, 2100469, 2100472, 2100473, 2100525, 2100527, 2100598, 2100615, 2100884, 2100937, 2100951, 2100952, 2100953, 2100958, 2100959, 2100961, 2100965, 2100971, 2100977, 2100981, 2100982, 2100987, 2100988, 2100993, 2101013, 2101016, 2101018, 2101023, 2101071, 2101108, 2101110, 2101111, 2101122, 2101129, 2101145, 2101156, 2101193, 2101200, 2101201, 2101242, 2101244, 2101245, 2101256, 2101288, 2101292, 2101332, 2101390, 2101401, 2101402, 2101403, 2101411, 2101417, 2101418, 2101420, 2101444, 2101447, 2101487, 2101489, 2101620, 2101662, 2101738, 2101847, 2101852, 2101874, 2101877, 2101945, 2102056, 2102073, 2102131, 2102465"
# Maintained TP SIDs,27,190,217,564,506,1067
