"Flow Number, ",Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1655053044.372874,1655053045.2462249,UDP,192.168.1.3,44681,192.168.2.2,161,,P,T1602.001,1.0,1.0
,2,1655053044.3739538,1655053045.246654,UDP,192.168.2.2,161,192.168.1.3,44681,,,,,
