"Flow Number, ",Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
,56,1719321720.4507284,1719321720.4558928,TCP,192.168.0.100,389.0,192.168.0.10,35674.0,,,,,
33.0,57,1719321720.9789548,1719321720.9936292,TCP,192.168.0.10,35686.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,58,1719321720.980048,1719321721.0049562,TCP,192.168.0.100,389.0,192.168.0.10,35686.0,,,,,
34.0,59,1719321721.235561,1719321721.2412207,TCP,192.168.0.10,35698.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,60,1719321721.2378666,1719321721.245582,TCP,192.168.0.100,389.0,192.168.0.10,35698.0,,,,,
35.0,61,1719321476.918091,1719321539.9496696,UDP,fe80::91ac:b31a:4956:8188,546.0,ff02::1:2,547.0,,L,,0.0,0.0
36.0,62,1719321721.6022837,1719321721.7186832,TCP,192.168.0.10,35700.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,63,1719321721.6033337,1719321721.751078,TCP,192.168.0.100,389.0,192.168.0.10,35700.0,,,,,
37.0,64,1719321722.0099328,1719321722.0142696,TCP,192.168.0.10,35712.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,65,1719321722.0106704,1719321722.0153627,TCP,192.168.0.100,389.0,192.168.0.10,35712.0,,,,,
38.0,66,1719321722.387252,1719321722.4060557,TCP,192.168.0.10,35720.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,67,1719321722.3878992,1719321722.421406,TCP,192.168.0.100,389.0,192.168.0.10,35720.0,,,,,
39.0,68,1719321541.1122017,1719321541.1123085,UDP,192.168.0.10,138.0,192.168.0.255,138.0,,L,,0.0,0.0
40.0,69,1719321722.770366,1719321722.8043394,TCP,192.168.0.10,35726.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,70,1719321722.7741303,1719321722.804936,TCP,192.168.0.100,389.0,192.168.0.10,35726.0,,,,,
41.0,71,1719321723.1664464,1719321723.1712215,TCP,192.168.0.10,35742.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,72,1719321723.1671872,1719321723.1742885,TCP,192.168.0.100,389.0,192.168.0.10,35742.0,,,,,
42.0,73,1719321723.5484135,1719321723.5526114,TCP,192.168.0.10,35754.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,74,1719321723.5489616,1719321723.5542884,TCP,192.168.0.100,389.0,192.168.0.10,35754.0,,,,,
43.0,75,1719321727.8348808,1719321727.8464117,TCP,192.168.0.10,58874.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,76,1719321727.8373413,1719321727.847178,TCP,192.168.0.100,389.0,192.168.0.10,58874.0,,,,,
44.0,77,1719321734.8815882,1719321734.886949,TCP,192.168.0.10,58880.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,78,1719321734.8839383,1719321734.887694,TCP,192.168.0.100,389.0,192.168.0.10,58880.0,,,,,
45.0,79,1719321735.779678,1719321735.8020563,TCP,192.168.0.10,58892.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,80,1719321735.7805653,1719321735.8031178,TCP,192.168.0.100,389.0,192.168.0.10,58892.0,,,,,
46.0,81,1719321736.4112449,1719321736.4158163,TCP,192.168.0.10,58898.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,82,1719321736.4120026,1719321736.4165213,TCP,192.168.0.100,389.0,192.168.0.10,58898.0,,,,,
47.0,83,1719321736.900392,1719321736.9067986,TCP,192.168.0.10,40840.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,84,1719321736.9028716,1719321736.9074707,TCP,192.168.0.100,389.0,192.168.0.10,40840.0,,,,,
48.0,85,1719321737.4904969,1719321737.4948926,TCP,192.168.0.10,40844.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,86,1719321737.4912212,1719321737.4957256,TCP,192.168.0.100,389.0,192.168.0.10,40844.0,,,,,
49.0,87,1719321738.458769,1719321738.4637606,TCP,192.168.0.10,40846.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,88,1719321738.4595673,1719321738.465678,TCP,192.168.0.100,389.0,192.168.0.10,40846.0,,,,,
50.0,89,1719321739.2510324,1719321739.255229,TCP,192.168.0.10,40852.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,90,1719321739.2517197,1719321739.255926,TCP,192.168.0.100,389.0,192.168.0.10,40852.0,,,,,
51.0,91,1719321739.7952583,1719321739.7994745,TCP,192.168.0.10,40868.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,92,1719321739.7959964,1719321739.802899,TCP,192.168.0.100,389.0,192.168.0.10,40868.0,,,,,
52.0,93,1719321740.9303975,1719321740.937155,TCP,192.168.0.10,40872.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,94,1719321740.9332905,1719321740.946653,TCP,192.168.0.100,389.0,192.168.0.10,40872.0,,,,,
53.0,95,1719321741.8917503,1719321741.9144647,TCP,192.168.0.10,40880.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,96,1719321741.9088132,1719321741.9240656,TCP,192.168.0.100,389.0,192.168.0.10,40880.0,,,,,
54.0,97,1719321742.9553216,1719321742.961398,TCP,192.168.0.10,40896.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,98,1719321742.9578032,1719321742.9620948,TCP,192.168.0.100,389.0,192.168.0.10,40896.0,,,,,
55.0,99,1719321743.7634196,1719321743.8225715,TCP,192.168.0.10,40912.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,100,1719321743.7809904,1719321743.8470948,TCP,192.168.0.100,389.0,192.168.0.10,40912.0,,,,,
56.0,101,1719321744.3793974,1719321744.3839216,TCP,192.168.0.10,40916.0,192.168.0.100,389.0,,P,T1615,1.0,1.0
,102,1719321744.3805287,1719321744.4125466,TCP,192.168.0.100,389.0,192.168.0.10,40916.0,,,,,
57.0,106,1719321801.6406207,1719321801.6406207,UDP,192.168.0.100,138.0,192.168.0.255,138.0,,L,,0.0,0.0
58.0,107,1719321841.6785965,1719321841.678692,UDP,192.168.0.10,138.0,192.168.0.255,138.0,,L,,0.0,0.0
