"Flow Number, Seq",Unnamed: 1,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1715704382.972564,1715704382.975021,TCP,192.168.10.20,49879,192.168.10.10,88,,L,,0.0,0.0
,2,1715704382.972987,1715704382.97525,TCP,192.168.10.10,88,192.168.10.20,49879,,,,,
2.0,3,1715704382.966422,1715704383.019106,TCP,192.168.10.20,49877,192.168.10.10,135,,L,,0.0,0.0
,4,1715704382.96705,1715704382.968959,TCP,192.168.10.10,135,192.168.10.20,49877,,,,,
3.0,5,1715704382.970232,1715704383.188228,TCP,192.168.10.20,49878,192.168.10.10,49667,,P,T1003.006,1.0,1.0
,6,1715704382.970583,1715704383.141136,TCP,192.168.10.10,49667,192.168.10.20,49878,,L,,0.0,0.0
