Flow Number ,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1715337613.6377432,1715337613.6378748,UDP,192.168.0.35,138,192.168.0.255,138,,L,,0.0,0.0
2.0,4,1715337737.109368,1715337828.6182363,UDP,192.168.0.35,33875,192.168.0.20,33516,,P,T1219,1.0,1.0
,5,1715337737.1317396,1715337828.6605816,UDP,192.168.0.20,33516,192.168.0.35,33875,,,,,
