Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances,Unnamed: 14
1.0,1,1723020070.6796217,1723020171.9102373,TCP,192.168.0.100,49254,172.16.1.2,8888,,C,T1059,0.0,1.0,
,2,1723020070.6796565,1723020171.9102762,TCP,172.16.1.2,8888,192.168.0.100,49254,,,,,,
2.0,5,1723020073.6071613,1723020196.9098845,TCP,192.168.0.100,49257,172.16.1.2,8888,,P,T1087.002,2.0,2.0,Socket B: envío de net user /domain y net group /domain. Cada comando = 1 mensaje y 1 instancia principal.
,6,1723020073.607191,1723020196.9080167,TCP,172.16.1.2,8888,192.168.0.100,49257,,,,,,
