"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
56,1706872057.7614949,1706872057.7614949,UDP,10.10.1.9,35023.0,10.10.1.4,53.0,,,,1.0,1.0
57,1706872057.7668283,1706872057.7668283,UDP,10.10.1.4,53.0,10.10.1.9,35023.0,,,,1.0,1.0
58,1706872057.7669094,1706872057.7669094,UDP,10.10.1.9,37148.0,10.10.1.6,53.0,,,,,
59,1706872062.7719693,1706872062.7719693,UDP,10.10.1.9,43276.0,10.10.1.4,53.0,,,,1.0,1.0
60,1706872062.77469,1706872062.77469,UDP,10.10.1.4,53.0,10.10.1.9,43276.0,,,,1.0,1.0
61,1706872062.774764,1706872062.774764,UDP,10.10.1.9,34212.0,10.10.1.6,53.0,,,,,
62,1706872067.77981,1706872067.77981,UDP,10.10.1.9,53843.0,10.10.1.4,53.0,,,,1.0,1.0
63,1706872067.7827516,1706872067.7827516,UDP,10.10.1.4,53.0,10.10.1.9,53843.0,,,,1.0,1.0
64,1706872067.7828145,1706872067.7828145,UDP,10.10.1.9,47761.0,10.10.1.6,53.0,,,,,
65,1706872072.7878602,1706872072.7878602,UDP,10.10.1.9,47149.0,10.10.1.4,53.0,,,,1.0,1.0
66,1706872072.7908227,1706872072.7908227,UDP,10.10.1.4,53.0,10.10.1.9,47149.0,,,,1.0,1.0
67,1706872072.7912133,1706872072.7912133,UDP,10.10.1.9,47790.0,10.10.1.6,53.0,,,,,
68,1706872077.7962613,1706872077.7962613,UDP,10.10.1.9,54299.0,10.10.1.4,53.0,,,,1.0,1.0
69,1706872077.7988343,1706872077.7988343,UDP,10.10.1.4,53.0,10.10.1.9,54299.0,,,,1.0,1.0
70,1706872077.7988992,1706872077.7988992,UDP,10.10.1.9,38597.0,10.10.1.6,53.0,,,,,
71,1706872082.8039496,1706872082.8039496,UDP,10.10.1.9,53644.0,10.10.1.4,53.0,,,,1.0,1.0
72,1706872082.8084462,1706872082.8084462,UDP,10.10.1.4,53.0,10.10.1.9,53644.0,,,,1.0,1.0
73,1706872082.8085227,1706872082.8085227,UDP,10.10.1.9,56542.0,10.10.1.6,53.0,,,,,
74,1706872087.8135655,1706872087.8135655,UDP,10.10.1.9,49012.0,10.10.1.4,53.0,,,,1.0,1.0
75,1706872087.8155518,1706872087.8155518,UDP,10.10.1.4,53.0,10.10.1.9,49012.0,,,,1.0,1.0
76,1706872087.815604,1706872087.815604,UDP,10.10.1.9,44261.0,10.10.1.6,53.0,,,,,
77,1706872092.8206396,1706872092.8206396,UDP,10.10.1.9,37101.0,10.10.1.4,53.0,,,,1.0,1.0
78,1706872092.8242345,1706872092.8242345,UDP,10.10.1.4,53.0,10.10.1.9,37101.0,,,,1.0,1.0
79,1706872092.825709,1706872092.825709,UDP,10.10.1.9,40808.0,10.10.1.6,53.0,,,,,
80,1706872097.830772,1706872097.830772,UDP,10.10.1.9,43367.0,10.10.1.4,53.0,,,,1.0,1.0
81,1706872097.8357944,1706872097.8357944,UDP,10.10.1.4,53.0,10.10.1.9,43367.0,,,,1.0,1.0
82,1706872097.835864,1706872097.835864,UDP,10.10.1.9,37662.0,10.10.1.6,53.0,,,,,
83,1706872081.862544,1706872101.887412,UDP,10.10.1.9,55172.0,10.10.1.6,53.0,,P,T1071.004,1.0,1.0
84,1706872102.8409083,1706872102.8409083,UDP,10.10.1.9,56563.0,10.10.1.4,53.0,,,,1.0,1.0
85,1706872102.8486688,1706872102.8486688,UDP,10.10.1.4,53.0,10.10.1.9,56563.0,,,,1.0,1.0
86,1706872102.8487332,1706872102.8487332,UDP,10.10.1.9,32965.0,10.10.1.6,53.0,,,,,
87,1706872107.853779,1706872107.853779,UDP,10.10.1.9,44508.0,10.10.1.4,53.0,,,,1.0,1.0
88,1706872107.857064,1706872107.857064,UDP,10.10.1.4,53.0,10.10.1.9,44508.0,,,,1.0,1.0
89,1706872107.857128,1706872107.857128,UDP,10.10.1.9,34370.0,10.10.1.6,53.0,,,,,
90,1706872112.8621736,1706872112.8621736,UDP,10.10.1.9,38917.0,10.10.1.4,53.0,,,,1.0,1.0
91,1706872112.8650725,1706872112.8650725,UDP,10.10.1.4,53.0,10.10.1.9,38917.0,,,,1.0,1.0
92,1706872112.8656828,1706872112.8656828,UDP,10.10.1.9,60992.0,10.10.1.6,53.0,,,,,
93,1706872117.8707287,1706872117.8707287,UDP,10.10.1.9,42448.0,10.10.1.4,53.0,,,,1.0,1.0
94,1706872117.8735209,1706872117.8735209,UDP,10.10.1.4,53.0,10.10.1.9,42448.0,,,,1.0,1.0
95,1706872117.8735857,1706872117.8735857,UDP,10.10.1.9,47945.0,10.10.1.6,53.0,,,,,
96,1706872122.8786316,1706872122.8786316,UDP,10.10.1.9,46928.0,10.10.1.4,53.0,,,,1.0,1.0
97,1706872122.8822825,1706872122.8822825,UDP,10.10.1.4,53.0,10.10.1.9,46928.0,,,,1.0,1.0
98,1706872122.8823533,1706872122.8823533,UDP,10.10.1.9,56437.0,10.10.1.6,53.0,,,,,
99,1706872127.8873923,1706872127.8873923,UDP,10.10.1.9,57082.0,10.10.1.4,53.0,,,,1.0,1.0
100,1706872127.8901017,1706872127.8901017,UDP,10.10.1.4,53.0,10.10.1.9,57082.0,,,,1.0,1.0
101,1706872127.8901615,1706872127.8901615,UDP,10.10.1.9,51429.0,10.10.1.6,53.0,,,,,
102,1706872132.8949971,1706872132.8949971,UDP,10.10.1.9,44812.0,10.10.1.4,53.0,,,,1.0,1.0
103,1706872132.8979044,1706872132.8979044,UDP,10.10.1.4,53.0,10.10.1.9,44812.0,,,,1.0,1.0
104,1706872132.8984363,1706872132.8984363,UDP,10.10.1.9,54178.0,10.10.1.6,53.0,,,,,
105,1706872137.9034846,1706872137.9034846,UDP,10.10.1.9,49252.0,10.10.1.4,53.0,,,,1.0,1.0
106,1706872137.906142,1706872137.906142,UDP,10.10.1.4,53.0,10.10.1.9,49252.0,,,,1.0,1.0
107,1706872137.906205,1706872137.906205,UDP,10.10.1.9,37455.0,10.10.1.6,53.0,,,,,
108,1706872142.9112587,1706872142.9112587,UDP,10.10.1.9,36693.0,10.10.1.4,53.0,,,,1.0,1.0
109,1706872142.9138176,1706872142.9138176,UDP,10.10.1.4,53.0,10.10.1.9,36693.0,,,,1.0,1.0
110,1706872142.9138932,1706872142.9138932,UDP,10.10.1.9,53351.0,10.10.1.6,53.0,,,,,
111,1706872147.9189394,1706872147.9189394,UDP,10.10.1.9,34914.0,10.10.1.4,53.0,,,,1.0,1.0
112,1706872147.9220817,1706872147.9220817,UDP,10.10.1.4,53.0,10.10.1.9,34914.0,,,,1.0,1.0
113,1706872147.9221451,1706872147.9221451,UDP,10.10.1.9,51770.0,10.10.1.6,53.0,,P,T1071.004,1.0,1.0
114,1706872152.9271903,1706872152.9271903,UDP,10.10.1.9,37276.0,10.10.1.4,53.0,,,,1.0,1.0
115,1706872152.9309356,1706872152.9309356,UDP,10.10.1.4,53.0,10.10.1.9,37276.0,,,,1.0,1.0
116,1706872141.9730542,1706872161.9981525,UDP,10.10.1.9,58190.0,10.10.1.6,53.0,,,,,
117,1706872194.922902,1706872194.922902,UDP,10.10.1.9,53458.0,10.10.1.6,53.0,,,,,
118,1706872199.9279702,1706872199.9279702,UDP,10.10.1.9,45668.0,10.10.1.4,53.0,,,,1.0,1.0
119,1706872199.9305956,1706872199.9305956,UDP,10.10.1.4,53.0,10.10.1.9,45668.0,,,,1.0,1.0
120,1706872199.9306884,1706872199.9306884,UDP,10.10.1.9,36179.0,10.10.1.6,53.0,,,,,
121,1706872204.935742,1706872204.935742,UDP,10.10.1.9,56343.0,10.10.1.4,53.0,,,,1.0,1.0
122,1706872204.9418037,1706872204.9418037,UDP,10.10.1.4,53.0,10.10.1.9,56343.0,,,,1.0,1.0
123,1706872204.9418778,1706872204.9418778,UDP,10.10.1.9,50779.0,10.10.1.6,53.0,,,,,
124,1706872209.9469275,1706872209.9469275,UDP,10.10.1.9,51120.0,10.10.1.4,53.0,,,,1.0,1.0
125,1706872209.9500976,1706872209.9500976,UDP,10.10.1.4,53.0,10.10.1.9,51120.0,,,,1.0,1.0
126,1706872209.950157,1706872209.950157,UDP,10.10.1.9,50739.0,10.10.1.6,53.0,,,,,
127,1706872214.9552047,1706872214.9552047,UDP,10.10.1.9,38690.0,10.10.1.4,53.0,,,,1.0,1.0
128,1706872214.9585752,1706872214.9585752,UDP,10.10.1.4,53.0,10.10.1.9,38690.0,,,,1.0,1.0
129,1706872214.958784,1706872214.958784,UDP,10.10.1.9,53799.0,10.10.1.6,53.0,,,,,
130,1706872219.9638472,1706872219.9638472,UDP,10.10.1.9,58279.0,10.10.1.4,53.0,,,,1.0,1.0
131,1706872219.9671433,1706872219.9671433,UDP,10.10.1.4,53.0,10.10.1.9,58279.0,,,,1.0,1.0
132,1706872219.9672472,1706872219.9672472,UDP,10.10.1.9,36055.0,10.10.1.6,53.0,,,,,
133,1706872201.1158004,1706872221.1408985,UDP,10.10.1.9,39781.0,10.10.1.6,53.0,,P,T1071.004,1.0,1.0
134,1706872224.9720027,1706872224.9720027,UDP,10.10.1.9,52687.0,10.10.1.4,53.0,,,,1.0,1.0
135,1706872224.9749525,1706872224.9749525,UDP,10.10.1.4,53.0,10.10.1.9,52687.0,,,,1.0,1.0
