Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1713883424.484504,1713883424.510162,TCP,192.168.0.10,49229,192.168.0.35,445,,P,T1187,1.0,1.0
,2,1713883424.4845216,1713883424.50664,TCP,192.168.0.35,445,192.168.0.10,49229,,,,,
2.0,3,1713883424.5171108,1713883424.5294406,TCP,192.168.0.10,49230,192.168.0.35,445,,P,T1187,0.0,1.0
,4,1713883424.5171304,1713883424.5284972,TCP,192.168.0.35,445,192.168.0.10,49230,,,,,
3.0,8,1713883436.6391597,1713883436.6510713,TCP,192.168.0.10,49231,192.168.0.35,445,,P,T1187,0.0,1.0
,9,1713883436.639191,1713883436.6499324,TCP,192.168.0.35,445,192.168.0.10,49231,,,,,
