"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
53,1717518658.5135007,1717518658.5381925,TCP,192.168.0.20,44244.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
54,1717518658.5143487,1717518658.5381644,TCP,192.168.0.11,80.0,192.168.0.20,44244.0,,,,,
55,1717518658.59007,1717518658.6786318,TCP,192.168.0.20,60388.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
56,1717518658.6123524,1717518658.6948967,TCP,192.168.0.10,80.0,192.168.0.20,60388.0,,,,,
57,1717518658.7501533,1717518658.7737105,TCP,192.168.0.20,44248.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
58,1717518658.7514002,1717518658.7736723,TCP,192.168.0.11,80.0,192.168.0.20,44248.0,,,,,
59,1717518658.8504455,1717518658.8581977,TCP,192.168.0.20,44256.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
60,1717518658.8513415,1717518658.8590164,TCP,192.168.0.11,80.0,192.168.0.20,44256.0,,,,,
61,1717518659.0519032,1717518659.059764,TCP,192.168.0.20,44262.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
62,1717518659.0526342,1717518659.0607295,TCP,192.168.0.11,80.0,192.168.0.20,44262.0,,,,,
63,1717518659.171386,1717518659.2122,TCP,192.168.0.20,60398.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
64,1717518659.1894836,1717518659.2153308,TCP,192.168.0.10,80.0,192.168.0.20,60398.0,,,,,
65,1717518659.3561332,1717518659.3780725,TCP,192.168.0.20,44270.0,192.168.0.11,80.0,,P,T1568.001,1.0,1.0
66,1717518659.356786,1717518659.3787608,TCP,192.168.0.11,80.0,192.168.0.20,44270.0,,,,,
67,1717518659.6679597,1717518659.6792903,TCP,192.168.0.20,60414.0,192.168.0.10,80.0,,P,T1568.001,1.0,1.0
68,1717518659.6689596,1717518659.6799347,TCP,192.168.0.10,80.0,192.168.0.20,60414.0,,,,,
