Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
,58,1715337609.011319,1715337609.011319,UDP,10.0.2.15,53849,100.100.1.1,53,,,,,
30.0,59,1715337609.065468,1715337609.065468,UDP,100.100.1.1,53,10.0.2.15,53849,,L,,0.0,0.0
,60,1715337609.030842,1715337609.030842,UDP,10.0.2.15,38473,100.100.1.1,53,,,,,
31.0,61,1715337609.065469,1715337609.065469,UDP,100.100.1.1,53,10.0.2.15,38473,,L,,0.0,0.0
,62,1715337609.031351,1715337609.031351,UDP,10.0.2.15,42788,100.100.1.1,53,,,,,
32.0,63,1715337609.065468,1715337609.065468,UDP,100.100.1.1,53,10.0.2.15,42788,,L,,0.0,0.0
,64,1715337609.034529,1715337609.034529,UDP,10.0.2.15,37241,100.100.1.1,53,,,,,
33.0,65,1715337609.065468,1715337609.065468,UDP,100.100.1.1,53,10.0.2.15,37241,,L,,0.0,0.0
,66,1715337609.03484,1715337609.03484,UDP,10.0.2.15,58490,100.100.1.1,53,,,,,
34.0,67,1715337609.065469,1715337609.065469,UDP,100.100.1.1,53,10.0.2.15,58490,,L,,0.0,0.0
,68,1715337609.082154,1715337609.082154,UDP,10.0.2.15,53699,100.100.1.1,53,,,,,
35.0,69,1715337609.108868,1715337609.108868,UDP,100.100.1.1,53,10.0.2.15,53699,,L,,0.0,0.0
,70,1715337609.164829,1715337609.164829,UDP,10.0.2.15,57188,100.100.1.1,53,,,,,
36.0,71,1715337609.211085,1715337609.211085,UDP,100.100.1.1,53,10.0.2.15,57188,,L,,0.0,0.0
,72,1715337609.165091,1715337609.165091,UDP,10.0.2.15,57966,100.100.1.1,53,,,,,
37.0,73,1715337609.211085,1715337609.211085,UDP,100.100.1.1,53,10.0.2.15,57966,,L,,0.0,0.0
,74,1715337609.228836,1715337781.82751,TCP,10.0.2.15,48364,34.149.97.1,443,,,,,
38.0,75,1715337609.240917,1715337781.82748,TCP,34.149.97.1,443,10.0.2.15,48364,,L,,0.0,0.0
,76,1715337609.13897,1715337781.827585,TCP,10.0.2.15,34002,34.117.188.166,443,,,,,
39.0,77,1715337609.149575,1715337781.82748,TCP,34.117.188.166,443,10.0.2.15,34002,,L,,0.0,0.0
,78,1715337609.137993,1715337611.05158,UDP,10.0.2.15,56623,34.117.188.166,443,,,,,
40.0,79,1715337609.161638,1715337611.020325,UDP,34.117.188.166,443,10.0.2.15,56623,,L,,0.0,0.0
,80,1715337610.893854,1715337611.068023,UDP,10.0.2.15,33798,34.117.188.166,443,,,,,
41.0,81,1715337610.930353,1715337611.042653,UDP,34.117.188.166,443,10.0.2.15,33798,,L,,0.0,0.0
,82,1715337609.092607,1715337611.04985,UDP,10.0.2.15,35017,34.149.97.1,443,,,,,
42.0,83,1715337609.109392,1715337611.088631,UDP,34.149.97.1,443,10.0.2.15,35017,,L,,0.0,0.0
,84,1715337611.38587,1715337611.38587,UDP,10.0.2.15,59661,100.100.1.1,53,,,,,
43.0,85,1715337611.520993,1715337611.520993,UDP,100.100.1.1,53,10.0.2.15,59661,,L,,0.0,0.0
,86,1715337611.386092,1715337611.386092,UDP,10.0.2.15,35562,100.100.1.1,53,,,,,
44.0,87,1715337611.520993,1715337611.520993,UDP,100.100.1.1,53,10.0.2.15,35562,,L,,0.0,0.0
,88,1715337611.521412,1715337611.521412,UDP,10.0.2.15,59849,100.100.1.1,53,,,,,
45.0,89,1715337611.543146,1715337611.543146,UDP,100.100.1.1,53,10.0.2.15,59849,,L,,0.0,0.0
,90,1715337613.535242,1715337613.535242,UDP,10.0.2.15,40281,100.100.1.1,53,,,,,
46.0,91,1715337613.595862,1715337613.595862,UDP,100.100.1.1,53,10.0.2.15,40281,,L,,0.0,0.0
,92,1715337613.535637,1715337613.535637,UDP,10.0.2.15,43305,100.100.1.1,53,,,,,
47.0,93,1715337613.595862,1715337613.595862,UDP,100.100.1.1,53,10.0.2.15,43305,,L,,0.0,0.0
,94,1715337613.598912,1715337613.598912,UDP,10.0.2.15,39641,100.100.1.1,53,,,,,
48.0,95,1715337613.623825,1715337613.623825,UDP,100.100.1.1,53,10.0.2.15,39641,,L,,0.0,0.0
,96,1715337613.973814,1715337613.973814,UDP,10.0.2.15,47732,100.100.1.1,53,,,,,
49.0,97,1715337614.038326,1715337614.038326,UDP,100.100.1.1,53,10.0.2.15,47732,,L,,0.0,0.0
,98,1715337613.973975,1715337613.973975,UDP,10.0.2.15,57001,100.100.1.1,53,,,,,
50.0,99,1715337614.038326,1715337614.038326,UDP,100.100.1.1,53,10.0.2.15,57001,,L,,0.0,0.0
,100,1715337613.981411,1715337613.981411,UDP,10.0.2.15,34352,100.100.1.1,53,,,,,
51.0,101,1715337614.038326,1715337614.038326,UDP,100.100.1.1,53,10.0.2.15,34352,,L,,0.0,0.0
,102,1715337614.334958,1715337614.463605,UDP,10.0.2.15,56809,104.16.63.16,443,,,,,
52.0,103,1715337614.358327,1715337614.474387,UDP,104.16.63.16,443,10.0.2.15,56809,,L,,0.0,0.0
,104,1715337615.159718,1715337615.159718,UDP,10.0.2.15,58840,100.100.1.1,53,,,,,
53.0,105,1715337615.239942,1715337615.239942,UDP,100.100.1.1,53,10.0.2.15,58840,,L,,0.0,0.0
,106,1715337615.159904,1715337615.159904,UDP,10.0.2.15,53773,100.100.1.1,53,,,,,
54.0,107,1715337615.239942,1715337615.239942,UDP,100.100.1.1,53,10.0.2.15,53773,,L,,0.0,0.0
,108,1715337615.436516,1715337615.436516,UDP,10.0.2.15,33437,100.100.1.1,53,,,,,
55.0,109,1715337615.504044,1715337615.504044,UDP,100.100.1.1,53,10.0.2.15,33437,,L,,0.0,0.0
,110,1715337615.438173,1715337615.438173,UDP,10.0.2.15,51786,100.100.1.1,53,,,,,
56.0,111,1715337615.504044,1715337615.504044,UDP,100.100.1.1,53,10.0.2.15,51786,,L,,0.0,0.0
,112,1715337616.216556,1715337616.216556,UDP,10.0.2.15,49291,100.100.1.1,53,,,,,
57.0,113,1715337616.238659,1715337616.238659,UDP,100.100.1.1,53,10.0.2.15,49291,,L,,0.0,0.0
,114,1715337616.216715,1715337616.216715,UDP,10.0.2.15,50595,100.100.1.1,53,,,,,
58.0,115,1715337616.238659,1715337616.238659,UDP,100.100.1.1,53,10.0.2.15,50595,,L,,0.0,0.0
,116,1715337617.818534,1715337617.818534,UDP,10.0.2.15,52294,100.100.1.1,53,,,,,
59.0,117,1715337617.839734,1715337617.839734,UDP,100.100.1.1,53,10.0.2.15,52294,,L,,0.0,0.0
,118,1715337617.818675,1715337617.818675,UDP,10.0.2.15,45947,100.100.1.1,53,,,,,
60.0,119,1715337617.839733,1715337617.839733,UDP,100.100.1.1,53,10.0.2.15,45947,,L,,0.0,0.0
,120,1715337617.862611,1715337617.862611,UDP,10.0.2.15,54921,100.100.1.1,53,,,,,
61.0,121,1715337617.883771,1715337617.883771,UDP,100.100.1.1,53,10.0.2.15,54921,,L,,0.0,0.0
,122,1715337617.86277,1715337617.86277,UDP,10.0.2.15,60325,100.100.1.1,53,,,,,
62.0,123,1715337617.883771,1715337617.883771,UDP,100.100.1.1,53,10.0.2.15,60325,,L,,0.0,0.0
,124,1715337618.859991,1715337619.166156,UDP,10.0.2.15,57452,216.58.215.163,443,,,,,
63.0,125,1715337618.889406,1715337619.163765,UDP,216.58.215.163,443,10.0.2.15,57452,,L,,0.0,0.0
,126,1715337619.11363,1715337619.20275,UDP,10.0.2.15,40439,142.250.184.164,443,,,,,
64.0,127,1715337619.154584,1715337619.200403,UDP,142.250.184.164,443,10.0.2.15,40439,,L,,0.0,0.0
,128,1715337631.184536,1715337631.184536,UDP,10.0.2.15,54411,150.214.5.121,123,,,,,
65.0,129,1715337631.206535,1715337631.206535,UDP,150.214.5.121,123,10.0.2.15,54411,,L,,0.0,0.0
,130,1715337616.597185,1715337638.594243,UDP,10.0.2.15,40615,142.250.184.3,443,,,,,
66.0,131,1715337616.62799,1715337638.643423,UDP,142.250.184.3,443,10.0.2.15,40615,,L,,0.0,0.0
,132,1715337638.618694,1715337638.771162,UDP,10.0.2.15,57476,216.58.215.163,443,,,,,
67.0,133,1715337638.663571,1715337638.81414,UDP,216.58.215.163,443,10.0.2.15,57476,,L,,0.0,0.0
,134,1715337616.208917,1715337647.844493,UDP,10.0.2.15,51935,142.250.184.163,443,,,,,
68.0,135,1715337616.239638,1715337647.883696,UDP,142.250.184.163,443,10.0.2.15,51935,,L,,0.0,0.0
,136,1715337650.275525,1715337650.275525,UDP,10.0.2.15,47642,100.100.1.1,53,,,,,
69.0,137,1715337650.371752,1715337650.371752,UDP,100.100.1.1,53,10.0.2.15,47642,,L,,0.0,0.0
,138,1715337650.275693,1715337650.275693,UDP,10.0.2.15,43689,100.100.1.1,53,,,,,
70.0,139,1715337650.315451,1715337650.315451,UDP,100.100.1.1,53,10.0.2.15,43689,,L,,0.0,0.0
,140,1715337650.329259,1715337650.329259,UDP,10.0.2.15,45397,100.100.1.1,53,,,,,
71.0,141,1715337650.371752,1715337650.371752,UDP,100.100.1.1,53,10.0.2.15,45397,,L,,0.0,0.0
,142,1715337612.259157,1715337824.010459,TCP,10.0.2.15,58674,20.4.69.136,443,,,,,
72.0,143,1715337612.314557,1715337830.565845,TCP,20.4.69.136,443,10.0.2.15,58674,,L,,0.0,0.0
,144,1715337654.727718,1715337654.727718,UDP,10.0.2.15,40332,100.100.1.1,53,,,,,
73.0,145,1715337654.749203,1715337654.749203,UDP,100.100.1.1,53,10.0.2.15,40332,,L,,0.0,0.0
,146,1715337655.380471,1715337655.380471,UDP,10.0.2.15,40574,100.100.1.1,53,,,,,
74.0,147,1715337655.401649,1715337655.401649,UDP,100.100.1.1,53,10.0.2.15,40574,,L,,0.0,0.0
,148,1715337655.562657,1715337655.562657,UDP,10.0.2.15,37350,100.100.1.1,53,,,,,
75.0,149,1715337655.586549,1715337655.586549,UDP,100.100.1.1,53,10.0.2.15,37350,,L,,0.0,0.0
,150,1715337655.624809,1715337655.624809,UDP,10.0.2.15,50927,100.100.1.1,53,,,,,
76.0,151,1715337655.646214,1715337655.646214,UDP,100.100.1.1,53,10.0.2.15,50927,,L,,0.0,0.0
,152,1715337655.784462,1715337655.784462,UDP,10.0.2.15,44842,100.100.1.1,53,,,,,
77.0,153,1715337655.814376,1715337655.814376,UDP,100.100.1.1,53,10.0.2.15,44842,,L,,0.0,0.0
,154,1715337655.822856,1715337655.822856,UDP,10.0.2.15,33963,100.100.1.1,53,,,,,
78.0,155,1715337655.858322,1715337655.858322,UDP,100.100.1.1,53,10.0.2.15,33963,,L,,0.0,0.0
,156,1715337656.630957,1715337656.630957,UDP,10.0.2.15,52743,100.100.1.1,53,,,,,
79.0,157,1715337656.651276,1715337656.651276,UDP,100.100.1.1,53,10.0.2.15,52743,,L,,0.0,0.0
,158,1715337657.121369,1715337657.121369,UDP,10.0.2.15,59499,100.100.1.1,53,,,,,
80.0,159,1715337657.15419,1715337657.15419,UDP,100.100.1.1,53,10.0.2.15,59499,,L,,0.0,0.0
,160,1715337658.0297,1715337658.0297,UDP,10.0.2.15,59371,100.100.1.1,53,,,,,
81.0,161,1715337658.075593,1715337658.075593,UDP,100.100.1.1,53,10.0.2.15,59371,,L,,0.0,0.0
,162,1715337658.308176,1715337658.308176,UDP,10.0.2.15,47588,100.100.1.1,53,,,,,
82.0,163,1715337658.3422,1715337658.3422,UDP,100.100.1.1,53,10.0.2.15,47588,,L,,0.0,0.0
,164,1715337658.741291,1715337658.741291,UDP,10.0.2.15,38927,100.100.1.1,53,,,,,
83.0,165,1715337658.766823,1715337658.766823,UDP,100.100.1.1,53,10.0.2.15,38927,,L,,0.0,0.0
,166,1715337658.810448,1715337658.810448,UDP,10.0.2.15,39150,100.100.1.1,53,,,,,
84.0,167,1715337658.835721,1715337658.835721,UDP,100.100.1.1,53,10.0.2.15,39150,,L,,0.0,0.0
,168,1715337658.9016,1715337658.9016,UDP,10.0.2.15,45082,100.100.1.1,53,,,,,
