"Flow Number, ",Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1712927870.501125,1712927872.5479305,UDP,192.168.0.20,56469,108.61.171.103,21116,,L,,0.0,0.0
2.0,4,1712927935.268757,1712927954.8706975,TCP,192.168.0.10,41332,192.168.0.20,22,,P,T1599.001,1.0,1.0
,5,1712927935.2687843,1712927954.8692267,TCP,192.168.0.20,22,192.168.0.10,41332,,,,,
3.0,6,1712927967.9709213,1712927967.9709213,UDP,192.168.0.20,32803,108.61.171.103,21116,,L,,0.0,0.0
