Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1715419933.1099532,1715419933.1099532,TCP,192.168.0.20,60998,192.168.0.35,443,,P,T1573.002,1.0,1.0
,2,1715419933.109974,1715419933.109974,TCP,192.168.0.35,443,192.168.0.20,60998,,,,,
2.0,5,1715419960.4741204,1715420032.9145548,TCP,192.168.0.20,41636,192.168.0.35,443,,L,,0.0,0.0
,6,1715419960.4741569,1715420032.9145763,TCP,192.168.0.35,443,192.168.0.20,41636,,,,,
