Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances,Unnamed: 14
1,1,1713374878.5421443,1713374878.5421443,UDP,0.0.0.0,68.0,255.255.255.255,67.0,,L,,0,0,
2,2,1713374885.7828104,1713374886.8463304,ICMP,10.10.1.2,,10.10.1.9,,0x00000000_0x00000001_0x0001,P,T1498,1,1,
3,3,1713374888.8823793,1713374888.8823793,58,fe80::4a5b:39ff:feee:7c0b,,ff02::2,,,L,,0,0,
