"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1654275911.8799083,1654275911.8958125,TCP,172.16.1.2,39250.0,172.16.2.2,8080.0,,P,T1505.001,1.0,1.0
2,1654275911.8801742,1654275911.8952348,TCP,172.16.2.2,8080.0,172.16.1.2,39250.0,,,,,
3,1654275907.818946,1654275914.8749535,ICMP,172.16.2.1,,172.16.2.2,,0x00000000_0x00000020_0x0002,L,,0.0,0.0
4,1654275907.818922,1654275914.8749733,TCP,172.16.2.2,41511.0,64.4.54.254,443.0,,L,,0.0,0.0
5,1654275899.5828662,1654275915.711243,TCP,172.16.1.2,40158.0,52.84.66.55,443.0,,L,,0.0,0.0
8,1654275899.8389697,1654275915.966748,TCP,172.16.1.2,44288.0,52.84.66.125,443.0,,L,,0.0,0.0
9,1654275919.5511768,1654275919.5511768,TCP,172.16.1.2,47590.0,52.84.66.93,443.0,,L,,0.0,0.0
10,1654275919.5511985,1654275919.5511985,TCP,172.16.1.2,47588.0,52.84.66.93,443.0,,L,,0.0,0.0
