Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
,58,1718361763.582041,1718361764.399609,TCP,192.168.10.10,389,192.168.10.8,49734,,,,,
30.0,59,1718361763.592689,1718361764.541181,TCP,192.168.10.8,49736,192.168.10.10,389,,L,,0.0,0.0
,60,1718361763.592755,1718361764.580772,TCP,192.168.10.10,389,192.168.10.8,49736,,,,,
31.0,61,1718361744.555347,1718361763.46669,TCP,192.168.10.8,49705,192.168.10.10,6404,,L,,0.0,0.0
,62,1718361744.555416,1718361763.466434,TCP,192.168.10.10,6404,192.168.10.8,49705,,,,,
32.0,63,1718361763.583626,1718361764.740933,TCP,192.168.10.8,49735,192.168.10.10,389,,L,,0.0,0.0
,64,1718361763.583674,1718361764.760887,TCP,192.168.10.10,389,192.168.10.8,49735,,,,,
33.0,65,1718361782.014155,1718361782.073746,TCP,192.168.10.8,49745,192.168.10.10,88,,L,,0.0,0.0
,66,1718361782.01423,1718361782.073796,TCP,192.168.10.10,88,192.168.10.8,49745,,,,,
34.0,67,1718361782.09172,1718361782.169645,TCP,192.168.10.8,49747,192.168.10.10,389,,L,,0.0,0.0
,68,1718361782.091784,1718361782.169658,TCP,192.168.10.10,389,192.168.10.8,49747,,,,,
35.0,69,1718361782.08486,1718361782.170184,TCP,192.168.10.8,49746,192.168.10.10,389,,L,,0.0,0.0
,70,1718361782.084918,1718361782.170194,TCP,192.168.10.10,389,192.168.10.8,49746,,,,,
36.0,71,1718361781.990744,1718361783.711279,TCP,192.168.10.8,49743,192.168.10.10,135,,L,,0.0,0.0
,72,1718361781.990866,1718361782.297947,TCP,192.168.10.10,135,192.168.10.8,49743,,,,,
37.0,73,1718361782.013101,1718361783.711812,TCP,192.168.10.8,49744,192.168.10.10,6404,,L,,0.0,0.0
,74,1718361782.013182,1718361782.083183,TCP,192.168.10.10,6404,192.168.10.8,49744,,,,,
38.0,75,1718361789.786707,1718361789.799976,TCP,192.168.10.8,49758,192.168.10.10,389,,L,,0.0,0.0
,76,1718361789.786783,1718361789.799991,TCP,192.168.10.10,389,192.168.10.8,49758,,,,,
39.0,77,1718361789.78124,1718361789.799976,TCP,192.168.10.8,49757,192.168.10.10,389,,L,,0.0,0.0
,78,1718361789.781313,1718361789.800081,TCP,192.168.10.10,389,192.168.10.8,49757,,,,,
40.0,79,1718361789.75056,1718361793.48778,TCP,192.168.10.8,49755,192.168.10.10,135,,L,,0.0,0.0
,80,1718361789.750678,1718361789.778719,TCP,192.168.10.10,135,192.168.10.8,49755,,,,,
41.0,81,1718361789.754263,1718361793.4883,TCP,192.168.10.8,49756,192.168.10.10,6404,,L,,0.0,0.0
,82,1718361789.754323,1718361789.779785,TCP,192.168.10.10,6404,192.168.10.8,49756,,,,,
42.0,83,1718361798.270355,1718361798.271965,TCP,192.168.10.8,49769,192.168.10.10,88,,L,,0.0,0.0
,84,1718361798.270402,1718361798.272012,TCP,192.168.10.10,88,192.168.10.8,49769,,,,,
43.0,85,1718361798.272267,1718361798.273124,TCP,192.168.10.8,49770,192.168.10.10,88,,L,,0.0,0.0
,86,1718361798.272309,1718361798.273192,TCP,192.168.10.10,88,192.168.10.8,49770,,,,,
44.0,87,1718361741.182141,1718361793.467437,TCP,192.168.10.8,49693,192.168.10.10,6404,,L,,0.0,0.0
,88,1718361741.182176,1718361793.467079,TCP,192.168.10.10,6404,192.168.10.8,49693,,,,,
45.0,89,1718361741.179983,1718361793.468453,TCP,192.168.10.8,49692,192.168.10.10,135,,L,,0.0,0.0
,90,1718361741.180071,1718361793.468248,TCP,192.168.10.10,135,192.168.10.8,49692,,,,,
46.0,91,1718361798.263913,1718361809.02448,TCP,192.168.10.8,49768,192.168.10.10,445,,L,,0.0,0.0
,92,1718361798.264072,1718361809.023981,TCP,192.168.10.10,445,192.168.10.8,49768,,,,,
47.0,93,1718361809.457408,1718361809.482129,TCP,192.168.10.8,49777,192.168.10.10,135,,L,,0.0,0.0
,94,1718361809.457505,1718361809.464764,TCP,192.168.10.10,135,192.168.10.8,49777,,,,,
48.0,95,1718361809.459951,1718361809.482292,TCP,192.168.10.8,49778,192.168.10.10,6404,,L,,0.0,0.0
,96,1718361809.459981,1718361809.465807,TCP,192.168.10.10,6404,192.168.10.8,49778,,,,,
49.0,97,1718361809.471207,1718361809.476983,TCP,192.168.10.8,49780,192.168.10.10,389,,L,,0.0,0.0
,98,1718361809.471254,1718361809.476994,TCP,192.168.10.10,389,192.168.10.8,49780,,,,,
50.0,99,1718361809.466927,1718361809.477156,TCP,192.168.10.8,49779,192.168.10.10,389,,L,,0.0,0.0
,100,1718361809.466962,1718361809.477165,TCP,192.168.10.10,389,192.168.10.8,49779,,,,,
51.0,101,1718361800.736948,1718361823.396684,TCP,192.168.10.8,49771,192.168.10.10,135,,L,,0.0,0.0
,102,1718361800.737081,1718361823.396502,TCP,192.168.10.10,135,192.168.10.8,49771,,,,,
52.0,103,1718361800.745591,1718361823.396989,TCP,192.168.10.8,49772,192.168.10.10,6404,,L,,0.0,0.0
,104,1718361800.745655,1718361823.396613,TCP,192.168.10.10,6404,192.168.10.8,49772,,,,,
53.0,105,1718361862.483581,1718361862.485139,TCP,192.168.10.8,49795,192.168.10.10,88,,L,,0.0,0.0
,106,1718361862.483643,1718361862.485249,TCP,192.168.10.10,88,192.168.10.8,49795,,,,,
54.0,107,1718361862.676809,1718361862.677363,TCP,192.168.10.8,49796,192.168.10.10,389,,L,,0.0,0.0
,108,1718361862.676887,1718361862.677466,TCP,192.168.10.10,389,192.168.10.8,49796,,,,,
55.0,109,1718361862.81769,1718361862.818292,TCP,192.168.10.8,49797,192.168.10.10,389,,L,,0.0,0.0
,110,1718361862.81779,1718361862.818351,TCP,192.168.10.10,389,192.168.10.8,49797,,,,,
56.0,111,1718361862.819084,1718361862.819587,TCP,192.168.10.8,49798,192.168.10.10,389,,L,,0.0,0.0
,112,1718361862.819128,1718361862.819639,TCP,192.168.10.10,389,192.168.10.8,49798,,,,,
57.0,113,1718361862.82168,1718361862.822445,TCP,192.168.10.8,49799,192.168.10.10,389,,L,,0.0,0.0
,114,1718361862.821886,1718361862.822517,TCP,192.168.10.10,389,192.168.10.8,49799,,,,,
58.0,115,1718361862.832397,1718361862.833419,TCP,192.168.10.8,49800,192.168.10.10,389,,L,,0.0,0.0
,116,1718361862.832486,1718361862.833471,TCP,192.168.10.10,389,192.168.10.8,49800,,,,,
59.0,117,1718361862.837539,1718361862.837976,TCP,192.168.10.8,49801,192.168.10.10,389,,L,,0.0,0.0
,118,1718361862.837608,1718361862.838047,TCP,192.168.10.10,389,192.168.10.8,49801,,,,,
60.0,119,1718361862.838615,1718361862.838969,TCP,192.168.10.8,49802,192.168.10.10,389,,L,,0.0,0.0
,120,1718361862.838659,1718361862.839037,TCP,192.168.10.10,389,192.168.10.8,49802,,,,,
61.0,121,1718361862.83956,1718361862.83991,TCP,192.168.10.8,49803,192.168.10.10,389,,L,,0.0,0.0
,122,1718361862.8396,1718361862.840021,TCP,192.168.10.10,389,192.168.10.8,49803,,,,,
62.0,123,1718361862.84063,1718361862.840959,TCP,192.168.10.8,49804,192.168.10.10,389,,L,,0.0,0.0
,124,1718361862.840656,1718361862.841026,TCP,192.168.10.10,389,192.168.10.8,49804,,,,,
63.0,125,1718361877.689113,1718361877.692021,TCP,192.168.10.8,49809,192.168.10.10,389,,L,,0.0,0.0
,126,1718361877.689181,1718361877.692104,TCP,192.168.10.10,389,192.168.10.8,49809,,,,,
64.0,127,1718361877.684093,1718361877.692435,TCP,192.168.10.8,49808,192.168.10.10,389,,L,,0.0,0.0
,128,1718361877.684132,1718361877.692517,TCP,192.168.10.10,389,192.168.10.8,49808,,,,,
65.0,129,1718361877.978096,1718361877.979718,TCP,192.168.10.8,49812,192.168.10.10,88,,L,,0.0,0.0
,130,1718361877.978178,1718361877.979803,TCP,192.168.10.10,88,192.168.10.8,49812,,,,,
66.0,131,1718361877.990203,1718361877.995545,TCP,192.168.10.8,49813,192.168.10.10,389,,L,,0.0,0.0
,132,1718361877.990305,1718361877.995719,TCP,192.168.10.10,389,192.168.10.8,49813,,,,,
