"Flow Number, ",Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1723453950.049661,1723453950.049661,UDP,192.168.0.10,5353,224.0.0.251,5353,,L,,0.0,0.0
2.0,4,1723453992.3770025,1723454031.683854,UDP,0.0.0.0,68,255.255.255.255,67,,L,,0.0,0.0
3.0,5,1723453960.9453535,1723454037.4070127,TCP,192.168.0.1,33372,192.168.0.10,22,,P,T1200,1.0,1.0
,6,1723453960.9454083,1723454037.4060614,TCP,192.168.0.10,22,192.168.0.1,33372,,,,,
