Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
60,1654970472.3539293,1654970472.6275072,TCP,192.168.2.2,80,192.168.1.3,40536,,,,,
61,1654970472.3621836,1654970472.6358242,TCP,192.168.1.3,40542,192.168.2.2,80,,P,T1595.033,,
62,1654970472.3629928,1654970472.6360729,TCP,192.168.2.2,80,192.168.1.3,40542,,,,,
63,1654970472.368149,1654970472.83367,TCP,192.168.1.3,40544,192.168.2.2,80,,P,T1595.034,,
64,1654970472.3684323,1654970472.8341396,TCP,192.168.2.2,80,192.168.1.3,40544,,,,,
65,1654970472.4713757,1654970472.840444,TCP,192.168.1.3,40552,192.168.2.2,80,,P,T1595.035,,
66,1654970472.4718356,1654970472.8409426,TCP,192.168.2.2,80,192.168.1.3,40552,,,,,
67,1654970472.4469893,1654970472.848126,TCP,192.168.1.3,40550,192.168.2.2,80,,P,T1595.036,,
68,1654970472.4474316,1654970472.8484025,TCP,192.168.2.2,80,192.168.1.3,40550,,,,,
69,1654970472.3797095,1654970472.8493752,TCP,192.168.1.3,40548,192.168.2.2,80,,P,T1595.037,,
70,1654970472.3805647,1654970472.849887,TCP,192.168.2.2,80,192.168.1.3,40548,,,,,
71,1654970472.5825047,1654970472.8872497,TCP,192.168.1.3,40556,192.168.2.2,80,,P,T1595.038,,
72,1654970472.5828395,1654970472.8876095,TCP,192.168.2.2,80,192.168.1.3,40556,,,,,
73,1654970472.3681493,1654970472.8872497,TCP,192.168.1.3,40546,192.168.2.2,80,,P,T1595.039,,
74,1654970472.3684435,1654970472.8876202,TCP,192.168.2.2,80,192.168.1.3,40546,,,,,
75,1654970472.5856535,1654970472.888416,TCP,192.168.1.3,40558,192.168.2.2,80,,P,T1595.040,,
76,1654970472.5858915,1654970472.888663,TCP,192.168.2.2,80,192.168.1.3,40558,,,,,
77,1654970472.4975889,1654970472.890063,TCP,192.168.1.3,40554,192.168.2.2,80,,P,T1595.041,,
78,1654970472.4986308,1654970472.890293,TCP,192.168.2.2,80,192.168.1.3,40554,,,,,
79,1654970472.5888927,1654970472.8920796,TCP,192.168.1.3,40562,192.168.2.2,80,,P,T1595.042,,
80,1654970472.5892296,1654970472.89229,TCP,192.168.2.2,80,192.168.1.3,40562,,,,,
81,1654970472.5883064,1654970472.8982136,TCP,192.168.1.3,40560,192.168.2.2,80,,P,T1595.043,,
82,1654970472.5885248,1654970472.8984978,TCP,192.168.2.2,80,192.168.1.3,40560,,,,,
83,1654970472.5892756,1654970473.013019,TCP,192.168.1.3,40564,192.168.2.2,80,,P,T1595.044,,
84,1654970472.589545,1654970473.0132928,TCP,192.168.2.2,80,192.168.1.3,40564,,,,,
85,1654970472.617392,1654970473.0836687,TCP,192.168.1.3,40570,192.168.2.2,80,,P,T1595.045,,
86,1654970472.617667,1654970473.0841815,TCP,192.168.2.2,80,192.168.1.3,40570,,,,,
87,1654970472.6272051,1654970473.1021,TCP,192.168.1.3,40572,192.168.2.2,80,,P,T1595.046,,
88,1654970472.627766,1654970473.1026945,TCP,192.168.2.2,80,192.168.1.3,40572,,,,,
89,1654970472.841066,1654970473.103996,TCP,192.168.1.3,40578,192.168.2.2,80,,P,T1595.047,,
90,1654970472.8414483,1654970473.1043909,TCP,192.168.2.2,80,192.168.1.3,40578,,,,,
91,1654970472.5911517,1654970473.112008,TCP,192.168.1.3,40568,192.168.2.2,80,,P,T1595.048,,
92,1654970472.5916622,1654970473.112602,TCP,192.168.2.2,80,192.168.1.3,40568,,,,,
93,1654970472.8493755,1654970473.144061,TCP,192.168.1.3,40582,192.168.2.2,80,,P,T1595.049,,
94,1654970472.8499055,1654970473.1445656,TCP,192.168.2.2,80,192.168.1.3,40582,,,,,
95,1654970472.5898116,1654970473.1457677,TCP,192.168.1.3,40566,192.168.2.2,80,,P,T1595.050,,
96,1654970472.5907297,1654970473.1466558,TCP,192.168.2.2,80,192.168.1.3,40566,,,,,
97,1654970472.635982,1654970473.1498833,TCP,192.168.1.3,40574,192.168.2.2,80,,P,T1595.051,,
98,1654970472.6362455,1654970473.1505363,TCP,192.168.2.2,80,192.168.1.3,40574,,,,,
99,1654970472.8338828,1654970473.1585965,TCP,192.168.1.3,40576,192.168.2.2,80,,P,T1595.052,,
100,1654970472.8346293,1654970473.1590168,TCP,192.168.2.2,80,192.168.1.3,40576,,,,,
101,1654970472.8482475,1654970473.1591103,TCP,192.168.1.3,40580,192.168.2.2,80,,P,T1595.053,,
102,1654970472.84858,1654970473.1595695,TCP,192.168.2.2,80,192.168.1.3,40580,,,,,
103,1654970472.8872497,1654970473.1743631,TCP,192.168.1.3,40584,192.168.2.2,80,,P,T1595.054,,
104,1654970472.8876262,1654970473.1748729,TCP,192.168.2.2,80,192.168.1.3,40584,,,,,
105,1654970472.8874834,1654970473.37718,TCP,192.168.1.3,40586,192.168.2.2,80,,P,T1595.055,,
106,1654970472.8877976,1654970473.3776498,TCP,192.168.2.2,80,192.168.1.3,40586,,,,,
107,1654970472.892208,1654970473.398687,TCP,192.168.1.3,40592,192.168.2.2,80,,P,T1595.056,,
108,1654970472.892412,1654970473.399119,TCP,192.168.2.2,80,192.168.1.3,40592,,,,,
109,1654970472.8884163,1654970473.4054716,TCP,192.168.1.3,40588,192.168.2.2,80,,P,T1595.057,,
110,1654970472.8886833,1654970473.4057777,TCP,192.168.2.2,80,192.168.1.3,40588,,,,,
111,1654970472.8902073,1654970473.4074404,TCP,192.168.1.3,40590,192.168.2.2,80,,P,T1595.058,,
112,1654970472.890421,1654970473.4077375,TCP,192.168.2.2,80,192.168.1.3,40590,,,,,
113,1654970473.1041806,1654970473.4230254,TCP,192.168.1.3,40602,192.168.2.2,80,,P,T1595.059,,
114,1654970473.1046317,1654970473.423462,TCP,192.168.2.2,80,192.168.1.3,40602,,,,,
115,1654970473.11264,1654970473.4245045,TCP,192.168.1.3,40604,192.168.2.2,80,,P,T1595.060,,
116,1654970473.113037,1654970473.4249997,TCP,192.168.2.2,80,192.168.1.3,40604,,,,,
117,1654970472.8985765,1654970473.4523077,TCP,192.168.1.3,40594,192.168.2.2,80,,P,T1595.061,,
118,1654970472.8989296,1654970473.4526489,TCP,192.168.2.2,80,192.168.1.3,40594,,,,,
119,1654970473.0836687,1654970473.4523077,TCP,192.168.1.3,40598,192.168.2.2,80,,P,T1595.062,,
120,1654970473.0863822,1654970473.452659,TCP,192.168.2.2,80,192.168.1.3,40598,,,,,
121,1654970473.0132017,1654970473.4531312,TCP,192.168.1.3,40596,192.168.2.2,80,,P,T1595.063,,
122,1654970473.0134254,1654970473.4534452,TCP,192.168.2.2,80,192.168.1.3,40596,,,,,
123,1654970473.1021,1654970473.4534724,TCP,192.168.1.3,40600,192.168.2.2,80,,P,T1595.064,,
124,1654970473.1027129,1654970473.4536464,TCP,192.168.2.2,80,192.168.1.3,40600,,,,,
125,1654970473.1459284,1654970473.4591725,TCP,192.168.1.3,40608,192.168.2.2,80,,P,T1595.065,,
126,1654970473.1466646,1654970473.4594057,TCP,192.168.2.2,80,192.168.1.3,40608,,,,,
127,1654970473.1444552,1654970473.4825492,TCP,192.168.1.3,40606,192.168.2.2,80,,P,T1595.066,,
128,1654970473.1448789,1654970473.4829829,TCP,192.168.2.2,80,192.168.1.3,40606,,,,,
129,1654970473.1596072,1654970473.531426,TCP,192.168.1.3,40616,192.168.2.2,80,,P,T1595.067,,
130,1654970473.1602888,1654970473.531784,TCP,192.168.2.2,80,192.168.1.3,40616,,,,,
131,1654970473.150108,1654970473.5577426,TCP,192.168.1.3,40610,192.168.2.2,80,,P,T1595.068,,
132,1654970473.1507018,1654970473.5579755,TCP,192.168.2.2,80,192.168.1.3,40610,,,,,
133,1654970473.398876,1654970473.6173165,TCP,192.168.1.3,40624,192.168.2.2,80,,P,T1595.069,,
134,1654970473.3991282,1654970473.6176846,TCP,192.168.2.2,80,192.168.1.3,40624,,,,,
135,1654970473.3777723,1654970473.620012,TCP,192.168.1.3,40622,192.168.2.2,80,,P,T1595.070,,
136,1654970473.3781972,1654970473.6202145,TCP,192.168.2.2,80,192.168.1.3,40622,,,,,
137,1654970473.4524589,1654970473.6331067,TCP,192.168.1.3,40634,192.168.2.2,80,,P,T1595.071,,
138,1654970473.4526637,1654970473.633464,TCP,192.168.2.2,80,192.168.1.3,40634,,,,,
139,1654970473.1745448,1654970473.6748252,TCP,192.168.1.3,40620,192.168.2.2,80,,P,T1595.072,,
140,1654970473.1748917,1654970473.6751144,TCP,192.168.2.2,80,192.168.1.3,40620,,,,,
141,1654970473.1591103,1654970473.6760733,TCP,192.168.1.3,40614,192.168.2.2,80,,P,T1595.073,,
142,1654970473.1595476,1654970473.6763403,TCP,192.168.2.2,80,192.168.1.3,40614,,,,,
143,1654970473.4235685,1654970473.7138069,TCP,192.168.1.3,40630,192.168.2.2,80,,P,T1595.074,,
144,1654970473.4239223,1654970473.714128,TCP,192.168.2.2,80,192.168.1.3,40630,,,,,
145,1654970473.407598,1654970473.7139626,TCP,192.168.1.3,40628,192.168.2.2,80,,P,T1595.075,,
146,1654970473.407814,1654970473.7156427,TCP,192.168.2.2,80,192.168.1.3,40628,,,,,
147,1654970473.4246686,1654970473.7196126,TCP,192.168.1.3,40632,192.168.2.2,80,,P,T1595.076,,
148,1654970473.4250083,1654970473.7198665,TCP,192.168.2.2,80,192.168.1.3,40632,,,,,
149,1654970473.4056368,1654970473.7216172,TCP,192.168.1.3,40626,192.168.2.2,80,,P,T1595.077,,
150,1654970473.40589,1654970473.7219112,TCP,192.168.2.2,80,192.168.1.3,40626,,,,,
151,1654970473.4524589,1654970473.728554,TCP,192.168.1.3,40636,192.168.2.2,80,,P,T1595.078,,
152,1654970473.45267,1654970473.728892,TCP,192.168.2.2,80,192.168.1.3,40636,,,,,
153,1654970473.4533353,1654970473.7343278,TCP,192.168.1.3,40638,192.168.2.2,80,,P,T1595.079,,
154,1654970473.4535575,1654970473.7345665,TCP,192.168.2.2,80,192.168.1.3,40638,,,,,
155,1654970473.453585,1654970473.742127,TCP,192.168.1.3,40640,192.168.2.2,80,,P,T1595.080,,
156,1654970473.4537768,1654970473.74249,TCP,192.168.2.2,80,192.168.1.3,40640,,,,,
157,1654970473.4825492,1654970473.7704017,TCP,192.168.1.3,40644,192.168.2.2,80,,P,T1595.081,,
158,1654970473.4829917,1654970473.7706296,TCP,192.168.2.2,80,192.168.1.3,40644,,,,,
159,1654970473.4594674,1654970473.7783532,TCP,192.168.1.3,40642,192.168.2.2,80,,P,T1595.082,,
160,1654970473.4598384,1654970473.7786524,TCP,192.168.2.2,80,192.168.1.3,40642,,,,,
161,1654970473.5317268,1654970473.7939289,TCP,192.168.1.3,40646,192.168.2.2,80,,P,T1595.083,,
162,1654970473.5321028,1654970473.794381,TCP,192.168.2.2,80,192.168.1.3,40646,,,,,
163,1654970473.5578835,1654970473.8358378,TCP,192.168.1.3,40648,192.168.2.2,80,,P,T1595.084,,
164,1654970473.5580847,1654970473.8361635,TCP,192.168.2.2,80,192.168.1.3,40648,,,,,
165,1654970473.6173167,1654970473.862274,TCP,192.168.1.3,40650,192.168.2.2,80,,P,T1595.085,,
