Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1651077029.9434507,1651077029.9488256,TCP,172.16.2.2,60884,172.16.1.2,8888,,P,T1041,3.0,3.0
,2,1651077029.943807,1651077029.948505,TCP,172.16.1.2,8888,172.16.2.2,60884,,,,,
2.0,3,1651076973.8790889,1651077029.9527829,TCP,172.16.2.2,60880,172.16.1.2,8888,,P,T1041,2.0,2.0
,4,1651076973.8806868,1651077029.9525204,TCP,172.16.1.2,8888,172.16.2.2,60880,,,,,
