"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
92,1713203541.9297705,1713203541.932898,UDP,10.0.2.15,36737.0,192.168.1.1,53.0,,P,T1612,,
93,1713203541.9327674,1713203541.9367032,UDP,192.168.1.1,53.0,10.0.2.15,36737.0,,,,,
94,1713203542.4936352,1713203542.4936352,UDP,10.0.2.15,39930.0,192.168.1.1,53.0,,P,T1612,,
95,1713203542.5327747,1713203542.5327747,UDP,192.168.1.1,53.0,10.0.2.15,39930.0,,,,,
96,1713203542.4939563,1713203542.5336766,UDP,10.0.2.15,51252.0,192.168.1.1,53.0,,P,T1612,,
97,1713203542.5327752,1713203542.537216,UDP,192.168.1.1,53.0,10.0.2.15,51252.0,,,,,
98,1713203542.5385408,1713203542.5423272,UDP,10.0.2.15,33647.0,192.168.1.1,53.0,,P,T1612,,
99,1713203542.542055,1713203542.5556097,UDP,192.168.1.1,53.0,10.0.2.15,33647.0,,,,,
100,1713203542.5383923,1713203542.54245,UDP,10.0.2.15,37126.0,192.168.1.1,53.0,,P,T1612,,
101,1713203542.542055,1713203542.55561,UDP,192.168.1.1,53.0,10.0.2.15,37126.0,,,,,
102,1713203542.7045238,1713203542.7045238,UDP,10.0.2.15,57204.0,192.168.1.1,53.0,,P,T1612,,
103,1713203542.7223375,1713203542.7223375,UDP,192.168.1.1,53.0,10.0.2.15,57204.0,,,,,
104,1713203542.7284951,1713203542.7284951,UDP,10.0.2.15,51602.0,192.168.1.1,53.0,,P,T1612,,
105,1713203542.7426116,1713203542.7426116,UDP,192.168.1.1,53.0,10.0.2.15,51602.0,,,,,
106,1713203557.8283737,1713203557.8283737,UDP,10.0.2.15,52802.0,192.168.1.1,53.0,,P,T1612,,
107,1713203557.832173,1713203557.832173,UDP,192.168.1.1,53.0,10.0.2.15,52802.0,,,,,
108,1713203612.624047,1713203612.624047,UDP,10.0.2.15,51876.0,192.168.1.1,53.0,,P,T1612,,
109,1713203612.65701,1713203612.65701,UDP,192.168.1.1,53.0,10.0.2.15,51876.0,,,,,
110,1713203612.6238604,1713203612.6640248,UDP,10.0.2.15,32928.0,192.168.1.1,53.0,,P,T1612,,
111,1713203612.65701,1713203612.6807752,UDP,192.168.1.1,53.0,10.0.2.15,32928.0,,,,,
112,1713203612.730071,1713203612.735839,UDP,10.0.2.15,38355.0,192.168.1.1,53.0,,P,T1612,,
113,1713203612.7356958,1713203612.7528818,UDP,192.168.1.1,53.0,10.0.2.15,38355.0,,,,,
114,1713203612.7302597,1713203612.7360525,UDP,10.0.2.15,49135.0,192.168.1.1,53.0,,P,T1612,,
115,1713203612.735696,1713203612.752882,UDP,192.168.1.1,53.0,10.0.2.15,49135.0,,,,,
116,1713203633.9561985,1713203633.9561985,UDP,10.0.2.15,56014.0,192.168.1.1,53.0,,P,T1612,,
117,1713203633.9716532,1713203633.9716532,UDP,192.168.1.1,53.0,10.0.2.15,56014.0,,,,,
118,1713203633.9371622,1713203633.9569535,UDP,10.0.2.15,49042.0,192.168.1.1,53.0,,P,T1612,,
119,1713203633.9529157,1713203633.9716532,UDP,192.168.1.1,53.0,10.0.2.15,49042.0,,,,,
120,1713203633.9742618,1713203633.9792273,UDP,10.0.2.15,45657.0,192.168.1.1,53.0,,P,T1612,,
121,1713203633.9794466,1713203633.9920545,UDP,192.168.1.1,53.0,10.0.2.15,45657.0,,,,,
122,1713203541.9299116,1713203633.9793315,UDP,10.0.2.15,51127.0,192.168.1.1,53.0,,P,T1612,,
123,1713203541.9367032,1713203633.9920547,UDP,192.168.1.1,53.0,10.0.2.15,51127.0,,,,,
124,1713203634.6033237,1713203634.6033237,UDP,10.0.2.15,35618.0,192.168.1.1,53.0,,P,T1612,,
125,1713203634.6094155,1713203634.6094155,UDP,192.168.1.1,53.0,10.0.2.15,35618.0,,,,,
126,1713203634.6031277,1713203634.609489,UDP,10.0.2.15,57249.0,192.168.1.1,53.0,,P,T1612,,
127,1713203634.6094158,1713203634.6130075,UDP,192.168.1.1,53.0,10.0.2.15,57249.0,,,,,
128,1713203634.6141453,1713203634.618224,UDP,10.0.2.15,49207.0,192.168.1.1,53.0,,P,T1612,,
129,1713203634.6185591,1713203634.635131,UDP,192.168.1.1,53.0,10.0.2.15,49207.0,,,,,
130,1713203634.6139765,1713203634.6183376,UDP,10.0.2.15,39574.0,192.168.1.1,53.0,,P,T1612,,
131,1713203634.6185594,1713203634.6351311,UDP,192.168.1.1,53.0,10.0.2.15,39574.0,,,,,
132,1713203635.1010234,1713203635.1010234,UDP,10.0.2.15,39974.0,192.168.1.1,53.0,,P,T1612,,
133,1713203635.1066213,1713203635.1066213,UDP,192.168.1.1,53.0,10.0.2.15,39974.0,,,,,
134,1713203635.1006851,1713203635.10717,UDP,10.0.2.15,46919.0,192.168.1.1,53.0,,P,T1612,,
135,1713203635.1066213,1713203635.1108832,UDP,192.168.1.1,53.0,10.0.2.15,46919.0,,,,,
136,1713203635.111886,1713203635.1312933,UDP,10.0.2.15,41640.0,192.168.1.1,53.0,,P,T1612,,
137,1713203635.124375,1713203635.14556,UDP,192.168.1.1,53.0,10.0.2.15,41640.0,,,,,
138,1713203635.1131248,1713203635.1432064,UDP,10.0.2.15,33451.0,192.168.1.1,53.0,,P,T1612,,
139,1713203635.1351168,1713203635.1522512,UDP,192.168.1.1,53.0,10.0.2.15,33451.0,,,,,
140,1713203637.0184257,1713203637.0184257,UDP,10.0.2.15,56260.0,192.168.1.1,53.0,,P,T1612,,
141,1713203637.0309107,1713203637.0309107,UDP,192.168.1.1,53.0,10.0.2.15,56260.0,,,,,
142,1713203637.015865,1713203637.0229435,UDP,10.0.2.15,32845.0,192.168.1.1,53.0,,P,T1612,,
143,1713203637.0225508,1713203637.0481524,UDP,192.168.1.1,53.0,10.0.2.15,32845.0,,,,,
144,1713203637.0575345,1713203637.0797632,UDP,10.0.2.15,36064.0,192.168.1.1,53.0,,P,T1612,,
145,1713203637.0774138,1713203637.0921311,UDP,192.168.1.1,53.0,10.0.2.15,36064.0,,,,,
146,1713203637.0577157,1713203637.0798776,UDP,10.0.2.15,40301.0,192.168.1.1,53.0,,P,T1612,,
147,1713203637.0774145,1713203637.092131,UDP,192.168.1.1,53.0,10.0.2.15,40301.0,,,,,
148,1713203637.9613812,1713203637.9613812,UDP,10.0.2.15,47656.0,192.168.1.1,53.0,,P,T1612,,
149,1713203637.968181,1713203637.968181,UDP,192.168.1.1,53.0,10.0.2.15,47656.0,,,,,
150,1713203637.9612308,1713203637.9675732,UDP,10.0.2.15,35885.0,192.168.1.1,53.0,,P,T1612,,
151,1713203637.9673333,1713203637.9709833,UDP,192.168.1.1,53.0,10.0.2.15,35885.0,,,,,
152,1713203637.972408,1713203637.9761667,UDP,10.0.2.15,50732.0,192.168.1.1,53.0,,P,T1612,,
153,1713203637.975948,1713203637.9796424,UDP,192.168.1.1,53.0,10.0.2.15,50732.0,,,,,
154,1713203637.9728792,1713203637.9784472,UDP,10.0.2.15,42844.0,192.168.1.1,53.0,,P,T1612,,
155,1713203637.9783404,1713203637.9926748,UDP,192.168.1.1,53.0,10.0.2.15,42844.0,,,,,
156,1713203639.17026,1713203639.17026,UDP,10.0.2.15,51353.0,192.168.1.1,53.0,,P,T1612,,
157,1713203639.1750803,1713203639.1750803,UDP,192.168.1.1,53.0,10.0.2.15,51353.0,,,,,
158,1713203639.1699247,1713203639.1737452,UDP,10.0.2.15,52132.0,192.168.1.1,53.0,,P,T1612,,
159,1713203639.1735616,1713203639.1848488,UDP,192.168.1.1,53.0,10.0.2.15,52132.0,,,,,
160,1713203639.1936834,1713203639.198037,UDP,10.0.2.15,50618.0,192.168.1.1,53.0,,P,T1612,,
161,1713203639.1975205,1713203639.211156,UDP,192.168.1.1,53.0,10.0.2.15,50618.0,,,,,
162,1713203639.1938584,1713203639.1993792,UDP,10.0.2.15,57525.0,192.168.1.1,53.0,,P,T1612,,
163,1713203639.1975205,1713203639.211156,UDP,192.168.1.1,53.0,10.0.2.15,57525.0,,,,,
164,1713203643.0602927,1713203643.0602927,UDP,10.0.2.15,58927.0,192.168.1.1,53.0,,P,T1612,,
165,1713203643.0726938,1713203643.0726938,UDP,192.168.1.1,53.0,10.0.2.15,58927.0,,,,,
166,1713203643.060124,1713203643.0729184,UDP,10.0.2.15,45660.0,192.168.1.1,53.0,,P,T1612,,
167,1713203643.072694,1713203643.0779598,UDP,192.168.1.1,53.0,10.0.2.15,45660.0,,,,,
168,1713203643.0820916,1713203643.0929298,UDP,10.0.2.15,32918.0,192.168.1.1,53.0,,P,T1612,,
169,1713203643.0861287,1713203643.1011536,UDP,192.168.1.1,53.0,10.0.2.15,32918.0,,,,,
170,1713203643.0819392,1713203643.0937696,UDP,10.0.2.15,52787.0,192.168.1.1,53.0,,P,T1612,,
171,1713203643.0861287,1713203643.101154,UDP,192.168.1.1,53.0,10.0.2.15,52787.0,,,,,
172,1713203643.4722753,1713203643.4722753,UDP,10.0.2.15,57449.0,192.168.1.1,53.0,,P,T1612,,
173,1713203643.476104,1713203643.476104,UDP,192.168.1.1,53.0,10.0.2.15,57449.0,,,,,
174,1713203643.4721105,1713203643.4764426,UDP,10.0.2.15,40154.0,192.168.1.1,53.0,,P,T1612,,
175,1713203643.476104,1713203643.4797983,UDP,192.168.1.1,53.0,10.0.2.15,40154.0,,,,,
176,1713203643.480873,1713203643.4974165,UDP,10.0.2.15,53897.0,192.168.1.1,53.0,,P,T1612,,
177,1713203643.492936,1713203643.507484,UDP,192.168.1.1,53.0,10.0.2.15,53897.0,,,,,
178,1713203643.4807334,1713203643.5005305,UDP,10.0.2.15,46011.0,192.168.1.1,53.0,,P,T1612,,
179,1713203643.492936,1713203643.507484,UDP,192.168.1.1,53.0,10.0.2.15,46011.0,,,,,
180,1713203644.271511,1713203644.271511,UDP,10.0.2.15,55266.0,192.168.1.1,53.0,,P,T1612,,
181,1713203644.276758,1713203644.276758,UDP,192.168.1.1,53.0,10.0.2.15,55266.0,,,,,
182,1713203644.271312,1713203644.276322,UDP,10.0.2.15,54348.0,192.168.1.1,53.0,,P,T1612,,
183,1713203644.2760916,1713203644.2928288,UDP,192.168.1.1,53.0,10.0.2.15,54348.0,,,,,
184,1713203644.3172767,1713203644.3427775,UDP,10.0.2.15,56123.0,192.168.1.1,53.0,,P,T1612,,
185,1713203644.3356452,1713203644.3560965,UDP,192.168.1.1,53.0,10.0.2.15,56123.0,,,,,
186,1713203644.3327804,1713203644.3570237,UDP,10.0.2.15,59135.0,192.168.1.1,53.0,,P,T1612,,
187,1713203644.3560965,1713203644.3773131,UDP,192.168.1.1,53.0,10.0.2.15,59135.0,,,,,
188,1713203647.4272254,1713203647.4272254,UDP,10.0.2.15,55475.0,192.168.1.1,53.0,,P,T1612,,
189,1713203647.4369445,1713203647.4369445,UDP,192.168.1.1,53.0,10.0.2.15,55475.0,,,,,
190,1713203647.4242492,1713203647.4443424,UDP,10.0.2.15,55738.0,192.168.1.1,53.0,,P,T1612,,
191,1713203647.4369442,1713203647.4706798,UDP,192.168.1.1,53.0,10.0.2.15,55738.0,,,,,
192,1713203647.4975536,1713203647.5240436,UDP,10.0.2.15,55226.0,192.168.1.1,53.0,,P,T1612,,
193,1713203647.511267,1713203647.5311928,UDP,192.168.1.1,53.0,10.0.2.15,55226.0,,,,,
194,1713203647.4962752,1713203647.525076,UDP,10.0.2.15,47655.0,192.168.1.1,53.0,,P,T1612,,
195,1713203647.5112672,1713203647.5311933,UDP,192.168.1.1,53.0,10.0.2.15,47655.0,,,,,
196,1713203648.6523595,1713203648.6523595,UDP,10.0.2.15,43679.0,192.168.1.1,53.0,,P,T1612,,
197,1713203648.66741,1713203648.66741,UDP,192.168.1.1,53.0,10.0.2.15,43679.0,,,,,
198,1713203648.6484225,1713203648.669742,UDP,10.0.2.15,38020.0,192.168.1.1,53.0,,P,T1612,,
199,1713203648.6674097,1713203648.6752324,UDP,192.168.1.1,53.0,10.0.2.15,38020.0,,,,,
200,1713203648.6757767,1713203648.67941,UDP,10.0.2.15,50271.0,192.168.1.1,53.0,,P,T1612,,
201,1713203648.6796556,1713203648.689129,UDP,192.168.1.1,53.0,10.0.2.15,50271.0,,,,,
202,1713203648.6759405,1713203648.69389,UDP,10.0.2.15,43596.0,192.168.1.1,53.0,,P,T1612,,
203,1713203648.6891289,1713203648.705415,UDP,192.168.1.1,53.0,10.0.2.15,43596.0,,,,,
204,1713203649.7010832,1713203649.7010832,UDP,10.0.2.15,33075.0,192.168.1.1,53.0,,P,T1612,,
