"Flow Number, ",Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1.0,1,1655308740.8888884,1655308741.0214162,TCP,192.168.1.3,36273,192.168.2.2,21,,P,T1210,4.0,4.0
,2,1655308740.889887,1655308741.020706,TCP,192.168.2.2,21,192.168.1.3,36273,,,,,
2.0,3,1655308741.0357842,1655308741.2668087,TCP,192.168.1.3,36431,192.168.2.2,80,,L,,0.0,0.0
,4,1655308741.0367827,1655308741.266096,TCP,192.168.2.2,80,192.168.1.3,36431,,,,,
3.0,7,1655308741.193194,1655308752.7398005,TCP,192.168.2.2,48590,192.168.1.3,4444,,L,,0.0,0.0
,8,1655308741.1942663,1655308752.740209,TCP,192.168.1.3,4444,192.168.2.2,48590,,,,,
