"Flow Number, Seq",Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1713375519.6220713,1713375519.6220713,TCP,10.10.1.9,1130.0,10.10.1.2,80.0,,P,T1499.002,1.0,1.0
2,1713375519.6220417,1713375519.6220417,TCP,10.10.1.2,80.0,10.10.1.9,1130.0,,,,,
3,1713375519.624034,1713375519.624034,TCP,10.10.1.9,1131.0,10.10.1.2,80.0,,P,T1499.003,1.0,1.0
4,1713375519.6240263,1713375519.6240263,TCP,10.10.1.2,80.0,10.10.1.9,1131.0,,,,,
5,1713375519.6260684,1713375519.6260684,TCP,10.10.1.9,1132.0,10.10.1.2,80.0,,P,T1499.004,1.0,1.0
6,1713375519.626062,1713375519.626062,TCP,10.10.1.2,80.0,10.10.1.9,1132.0,,,,,
7,1713375519.6280975,1713375519.6280975,TCP,10.10.1.9,1133.0,10.10.1.2,80.0,,P,T1499.005,1.0,1.0
8,1713375519.6280916,1713375519.6280916,TCP,10.10.1.2,80.0,10.10.1.9,1133.0,,,,,
9,1713375519.630122,1713375519.630122,TCP,10.10.1.9,1134.0,10.10.1.2,80.0,,P,T1499.006,1.0,1.0
10,1713375519.630116,1713375519.630116,TCP,10.10.1.2,80.0,10.10.1.9,1134.0,,,,,
11,1713375519.6321456,1713375519.6321456,TCP,10.10.1.9,1135.0,10.10.1.2,80.0,,P,T1499.007,1.0,1.0
12,1713375519.6321392,1713375519.6321392,TCP,10.10.1.2,80.0,10.10.1.9,1135.0,,,,,
13,1713375519.634181,1713375519.634181,TCP,10.10.1.9,1136.0,10.10.1.2,80.0,,P,T1499.008,1.0,1.0
14,1713375519.6341748,1713375519.6341748,TCP,10.10.1.2,80.0,10.10.1.9,1136.0,,,,,
15,1713375519.6362429,1713375519.6362429,TCP,10.10.1.9,1137.0,10.10.1.2,80.0,,P,T1499.009,1.0,1.0
16,1713375519.6362371,1713375519.6362371,TCP,10.10.1.2,80.0,10.10.1.9,1137.0,,,,,
17,1713375519.6391,1713375519.6391,TCP,10.10.1.9,1138.0,10.10.1.2,80.0,,P,T1499.010,1.0,1.0
18,1713375519.639094,1713375519.639094,TCP,10.10.1.2,80.0,10.10.1.9,1138.0,,,,,
19,1713375519.6411383,1713375519.6411383,TCP,10.10.1.9,1139.0,10.10.1.2,80.0,,P,T1499.011,1.0,1.0
20,1713375519.6411324,1713375519.6411324,TCP,10.10.1.2,80.0,10.10.1.9,1139.0,,,,,
21,1713375519.6431725,1713375519.6431725,TCP,10.10.1.9,1140.0,10.10.1.2,80.0,,P,T1499.012,1.0,1.0
22,1713375519.6431663,1713375519.6431663,TCP,10.10.1.2,80.0,10.10.1.9,1140.0,,,,,
23,1713375519.6451962,1713375519.6451962,TCP,10.10.1.9,1141.0,10.10.1.2,80.0,,P,T1499.013,1.0,1.0
24,1713375519.6451905,1713375519.6451905,TCP,10.10.1.2,80.0,10.10.1.9,1141.0,,,,,
25,1713375519.6472185,1713375519.6472185,TCP,10.10.1.9,1142.0,10.10.1.2,80.0,,P,T1499.014,1.0,1.0
26,1713375519.647212,1713375519.647212,TCP,10.10.1.2,80.0,10.10.1.9,1142.0,,,,,
27,1713375519.6492386,1713375519.6492386,TCP,10.10.1.9,1143.0,10.10.1.2,80.0,,P,T1499.015,1.0,1.0
28,1713375519.6492324,1713375519.6492324,TCP,10.10.1.2,80.0,10.10.1.9,1143.0,,,,,
29,1713375519.651276,1713375519.651276,TCP,10.10.1.9,1144.0,10.10.1.2,80.0,,P,T1499.016,1.0,1.0
30,1713375519.65127,1713375519.65127,TCP,10.10.1.2,80.0,10.10.1.9,1144.0,,,,,
31,1713375519.6533315,1713375519.6533315,TCP,10.10.1.9,1145.0,10.10.1.2,80.0,,P,T1499.017,1.0,1.0
32,1713375519.6533258,1713375519.6533258,TCP,10.10.1.2,80.0,10.10.1.9,1145.0,,,,,
33,1713375519.65539,1713375519.65539,TCP,10.10.1.9,1146.0,10.10.1.2,80.0,,P,T1499.018,1.0,1.0
34,1713375519.6553843,1713375519.6553843,TCP,10.10.1.2,80.0,10.10.1.9,1146.0,,,,,
