Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
29.0,54,1710267980.617277,1710267980.617277,UDP,192.168.0.10,51507.0,192.168.0.2,53.0,,L,,0.0,0.0
,55,1710267980.6176283,1710267980.6176283,UDP,192.168.0.2,53.0,192.168.0.10,51507.0,,,,,
30.0,56,1710267980.6347108,1710267980.6347108,UDP,192.168.0.10,63749.0,192.168.0.2,53.0,,L,,0.0,0.0
,57,1710267980.832242,1710267980.832242,UDP,192.168.0.2,53.0,192.168.0.10,63749.0,,,,,
31.0,58,1710267980.6387868,1710267980.6387868,UDP,192.168.0.10,64920.0,192.168.0.2,53.0,,L,,0.0,0.0
,59,1710267980.7898984,1710267980.7898984,UDP,192.168.0.2,53.0,192.168.0.10,64920.0,,,,,
32.0,60,1710267980.6494262,1710267980.6494262,UDP,192.168.0.10,59958.0,192.168.0.2,53.0,,L,,0.0,0.0
,61,1710267980.7654393,1710267980.7654393,UDP,192.168.0.2,53.0,192.168.0.10,59958.0,,,,,
33.0,62,1710267980.6498508,1710267980.6498508,UDP,192.168.0.10,63432.0,192.168.0.2,53.0,,L,,0.0,0.0
,63,1710267980.7008755,1710267980.7008755,UDP,192.168.0.2,53.0,192.168.0.10,63432.0,,,,,
34.0,64,1710267980.650144,1710267980.650144,UDP,192.168.0.10,63668.0,192.168.0.2,53.0,,L,,0.0,0.0
,65,1710267980.8191726,1710267980.8191726,UDP,192.168.0.2,53.0,192.168.0.10,63668.0,,,,,
35.0,66,1710267980.6520932,1710267980.6520932,UDP,192.168.0.10,56681.0,192.168.0.2,53.0,,L,,0.0,0.0
,67,1710267980.8181963,1710267980.8181963,UDP,192.168.0.2,53.0,192.168.0.10,56681.0,,,,,
36.0,68,1710267980.6520932,1710267980.6520932,UDP,192.168.0.10,51390.0,192.168.0.2,53.0,,L,,0.0,0.0
,69,1710267980.7394404,1710267980.7394404,UDP,192.168.0.2,53.0,192.168.0.10,51390.0,,,,,
37.0,70,1710267980.6520934,1710267980.6520934,UDP,192.168.0.10,55685.0,192.168.0.2,53.0,,L,,0.0,0.0
,71,1710267980.7485702,1710267980.7485702,UDP,192.168.0.2,53.0,192.168.0.10,55685.0,,,,,
38.0,72,1710267980.668396,1710267983.7282455,UDP,192.168.0.10,55686.0,239.255.255.250,1900.0,,L,,0.0,0.0
39.0,73,1710267984.287946,1710267984.287946,UDP,192.168.0.10,62333.0,192.168.0.2,53.0,,L,,0.0,0.0
,74,1710267984.3009615,1710267984.3009615,UDP,192.168.0.2,53.0,192.168.0.10,62333.0,,,,,
40.0,75,1710267986.227023,1710267986.227023,UDP,192.168.0.10,58938.0,192.168.0.2,53.0,,L,,0.0,0.0
,76,1710267986.2567208,1710267986.2567208,UDP,192.168.0.2,53.0,192.168.0.10,58938.0,,,,,
41.0,77,1710267988.636619,1710267988.636619,UDP,192.168.0.10,57146.0,192.168.0.2,53.0,,L,,0.0,0.0
,78,1710267988.6369455,1710267988.6369455,UDP,192.168.0.2,53.0,192.168.0.10,57146.0,,,,,
42.0,79,1710267991.7867384,1710267991.7867384,UDP,192.168.0.10,55371.0,192.168.0.2,53.0,,L,,0.0,0.0
,80,1710267991.827208,1710267991.827208,UDP,192.168.0.2,53.0,192.168.0.10,55371.0,,,,,
43.0,81,1710267991.787516,1710267991.787516,UDP,192.168.0.10,62205.0,192.168.0.2,53.0,,L,,0.0,0.0
,82,1710267991.8234367,1710267991.8234367,UDP,192.168.0.2,53.0,192.168.0.10,62205.0,,,,,
44.0,83,1710267991.8159752,1710267991.8159752,UDP,192.168.0.10,49437.0,192.168.0.2,53.0,,L,,0.0,0.0
,84,1710267991.831081,1710267991.831081,UDP,192.168.0.2,53.0,192.168.0.10,49437.0,,,,,
45.0,85,1710267996.496058,1710267996.496058,UDP,192.168.0.10,57335.0,192.168.0.2,53.0,,L,,0.0,0.0
,86,1710267996.5101583,1710267996.5101583,UDP,192.168.0.2,53.0,192.168.0.10,57335.0,,,,,
46.0,87,1710268001.784948,1710268001.784948,UDP,192.168.0.10,63406.0,192.168.0.2,53.0,,L,,0.0,0.0
,88,1710268001.7853973,1710268001.7853973,UDP,192.168.0.2,53.0,192.168.0.10,63406.0,,,,,
47.0,89,1710268004.3495493,1710268004.3495493,UDP,192.168.0.10,61034.0,192.168.0.2,53.0,,L,,0.0,0.0
,90,1710268004.5718043,1710268004.5718043,UDP,192.168.0.2,53.0,192.168.0.10,61034.0,,,,,
48.0,91,1710268004.350202,1710268004.350202,UDP,192.168.0.10,57148.0,192.168.0.2,53.0,,L,,0.0,0.0
,92,1710268004.5298083,1710268004.5298083,UDP,192.168.0.2,53.0,192.168.0.10,57148.0,,,,,
49.0,93,1710268006.2433963,1710268006.2433963,UDP,192.168.0.10,53481.0,192.168.0.2,53.0,,L,,0.0,0.0
,94,1710268006.262392,1710268006.262392,UDP,192.168.0.2,53.0,192.168.0.10,53481.0,,,,,
50.0,95,1710268006.244236,1710268006.244236,UDP,192.168.0.10,50798.0,192.168.0.2,53.0,,L,,0.0,0.0
,96,1710268006.2448533,1710268006.2448533,UDP,192.168.0.2,53.0,192.168.0.10,50798.0,,,,,
51.0,97,1710268009.4041836,1710268009.4041836,UDP,192.168.0.10,58333.0,192.168.0.2,53.0,,L,,0.0,0.0
,98,1710268009.4047515,1710268009.4047515,UDP,192.168.0.2,53.0,192.168.0.10,58333.0,,,,,
52.0,99,1710268009.4041836,1710268009.4041836,UDP,192.168.0.10,58374.0,192.168.0.2,53.0,,L,,0.0,0.0
,100,1710268009.4045997,1710268009.4045997,UDP,192.168.0.2,53.0,192.168.0.10,58374.0,,,,,
53.0,101,1710268009.4407098,1710268009.4407098,UDP,192.168.0.10,62386.0,192.168.0.2,53.0,,L,,0.0,0.0
,102,1710268009.4410784,1710268009.4410784,UDP,192.168.0.2,53.0,192.168.0.10,62386.0,,,,,
54.0,103,1710268009.405883,1710268009.4853036,TCP,192.168.0.10,49785.0,192.168.0.2,80.0,,L,,0.0,0.0
,104,1710268009.405907,1710268009.48532,TCP,192.168.0.2,80.0,192.168.0.10,49785.0,,,,,
55.0,105,1710268009.477239,1710268009.6616538,TCP,192.168.0.10,49786.0,192.168.0.2,80.0,,L,,0.0,0.0
